# source, target, certainty, references, evidence
298,265,2,"array([39, 47, 58], dtype=int16)","array([1, 4], dtype=int16)"
298,266,3,"array([48, 58], dtype=int16)","array([1, 2, 8], dtype=int16)"
298,270,3,"array([19, 49, 58], dtype=int16)","array([1, 2, 4, 8], dtype=int16)"
298,272,3,"array([19, 58], dtype=int16)","array([1, 4, 5], dtype=int16)"
298,273,3,"array([19, 50, 58], dtype=int16)","array([1, 2, 4, 8], dtype=int16)"
298,274,3,"array([19, 58], dtype=int16)","array([1, 2, 4, 8], dtype=int16)"
298,275,3,"array([19, 58], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
298,276,3,"array([19, 58], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
298,278,1,"array([39, 58], dtype=int16)","array([1], dtype=int16)"
298,280,1,"array([31, 41, 58], dtype=int16)","array([1], dtype=int16)"
298,281,1,"array([31, 41, 58], dtype=int16)","array([1], dtype=int16)"
298,282,1,"array([40, 58], dtype=int16)","array([1], dtype=int16)"
298,283,1,"array([51, 58], dtype=int16)","array([1], dtype=int16)"
298,284,1,"array([40, 41, 54, 58], dtype=int16)","array([1], dtype=int16)"
298,285,1,"array([38, 39, 40, 54, 58], dtype=int16)","array([1], dtype=int16)"
298,286,1,"array([41, 54, 58], dtype=int16)","array([1], dtype=int16)"
298,287,1,"array([40, 41, 58], dtype=int16)","array([1], dtype=int16)"
298,288,1,"array([53, 58], dtype=int16)","array([1], dtype=int16)"
298,289,1,"array([53, 58], dtype=int16)","array([1], dtype=int16)"
298,290,1,"array([53, 58], dtype=int16)","array([1], dtype=int16)"
298,291,2,"array([53, 58], dtype=int16)","array([1, 4], dtype=int16)"
298,292,1,"array([39, 40, 41, 43, 58], dtype=int16)","array([1], dtype=int16)"
298,298,1,"array([58], dtype=int16)","array([1], dtype=int16)"
298,302,1,"array([39, 41, 58], dtype=int16)","array([1], dtype=int16)"
298,309,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,310,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,311,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,312,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,313,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,314,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,315,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,316,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,317,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,318,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,319,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,320,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,321,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,322,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,323,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,324,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,325,1,"array([58, 61], dtype=int16)","array([1], dtype=int16)"
298,326,3,"array([43, 58, 62], dtype=int16)","array([1, 3], dtype=int16)"
298,327,3,"array([29, 58, 62], dtype=int16)","array([1, 3], dtype=int16)"
298,328,3,"array([18, 58, 62], dtype=int16)","array([1, 3], dtype=int16)"
298,329,3,"array([58, 62], dtype=int16)","array([1, 3], dtype=int16)"
298,390,1,"array([58, 70], dtype=int16)","array([1], dtype=int16)"
298,391,1,"array([39, 40, 58], dtype=int16)","array([1], dtype=int16)"
298,397,1,"array([31, 58], dtype=int16)","array([1], dtype=int16)"
298,398,1,"array([58], dtype=int16)","array([1], dtype=int16)"
298,399,1,"array([39, 58, 60], dtype=int16)","array([1], dtype=int16)"
298,400,1,"array([58, 69], dtype=int16)","array([1], dtype=int16)"
298,401,1,"array([31, 43, 58], dtype=int16)","array([1], dtype=int16)"
298,402,1,"array([58, 69], dtype=int16)","array([1], dtype=int16)"
298,404,3,"array([19, 58], dtype=int16)","array([1, 4, 5], dtype=int16)"
298,405,3,"array([19, 58], dtype=int16)","array([1, 4, 5], dtype=int16)"
298,407,2,"array([19, 58], dtype=int16)","array([1, 4], dtype=int16)"
298,410,2,"array([19, 58], dtype=int16)","array([1, 4], dtype=int16)"
298,414,3,"array([19, 58], dtype=int16)","array([1, 4, 5], dtype=int16)"
298,420,2,"array([39, 40, 43, 58], dtype=int16)","array([1, 4], dtype=int16)"
298,421,3,"array([19, 58], dtype=int16)","array([1, 4, 8], dtype=int16)"
298,422,3,"array([19, 58], dtype=int16)","array([1, 4, 8], dtype=int16)"
298,423,3,"array([19, 58], dtype=int16)","array([1, 4, 5], dtype=int16)"
298,424,3,"array([19, 58], dtype=int16)","array([1, 4, 5], dtype=int16)"
298,425,3,"array([58, 72], dtype=int16)","array([1, 4, 5], dtype=int16)"
298,443,2,"array([19, 58], dtype=int16)","array([1, 4], dtype=int16)"
298,458,1,"array([19, 58], dtype=int16)","array([1], dtype=int16)"
298,459,2,"array([39, 41, 58], dtype=int16)","array([1, 8], dtype=int16)"
298,460,1,"array([40, 41, 58], dtype=int16)","array([1], dtype=int16)"
298,461,1,"array([41, 58], dtype=int16)","array([1], dtype=int16)"
298,462,1,"array([31, 58], dtype=int16)","array([1], dtype=int16)"
298,463,1,"array([40, 41, 58], dtype=int16)","array([1], dtype=int16)"
298,464,3,"array([39, 58], dtype=int16)","array([1, 4, 8], dtype=int16)"
298,465,2,"array([19, 58], dtype=int16)","array([1, 4], dtype=int16)"
298,469,3,"array([19, 58], dtype=int16)","array([1, 4, 5], dtype=int16)"
298,470,3,"array([19, 58], dtype=int16)","array([1, 4, 5], dtype=int16)"
298,476,1,"array([31, 58], dtype=int16)","array([1], dtype=int16)"
298,477,1,"array([41, 58], dtype=int16)","array([1], dtype=int16)"
298,478,1,"array([40, 41, 58], dtype=int16)","array([1], dtype=int16)"
298,481,2,"array([38, 41, 58], dtype=int16)","array([1, 2], dtype=int16)"
298,482,2,"array([39, 40, 58], dtype=int16)","array([1, 2], dtype=int16)"
298,483,2,"array([39, 58, 75, 76], dtype=int16)","array([1, 2], dtype=int16)"
298,484,2,"array([39, 58, 76], dtype=int16)","array([1, 2], dtype=int16)"
298,485,2,"array([39, 41, 58], dtype=int16)","array([1, 2], dtype=int16)"
298,486,2,"array([41, 58], dtype=int16)","array([1, 2], dtype=int16)"
298,487,3,"array([ 2, 18, 19, 58], dtype=int16)","array([1, 4, 8, 9], dtype=int16)"
298,491,1,"array([39, 40, 58], dtype=int16)","array([1], dtype=int16)"
298,492,1,"array([40, 58], dtype=int16)","array([1], dtype=int16)"
298,496,1,"array([45, 58], dtype=int16)","array([1], dtype=int16)"
298,497,1,"array([45, 58], dtype=int16)","array([1], dtype=int16)"
298,498,3,"array([11, 58], dtype=int16)","array([1, 2, 5], dtype=int16)"
298,499,2,"array([16, 41, 58], dtype=int16)","array([ 1, 10], dtype=int16)"
298,519,3,"array([ 6, 18, 31, 80, 58], dtype=int16)","array([1, 4, 7], dtype=int16)"
298,537,3,"array([ 6, 58], dtype=int16)","array([1, 3, 4], dtype=int16)"
298,540,2,"array([19, 58], dtype=int16)","array([1, 4], dtype=int16)"
298,541,3,"array([19, 58], dtype=int16)","array([1, 4, 5], dtype=int16)"
298,555,2,"array([39, 58], dtype=int16)","array([1, 2], dtype=int16)"
299,129,2,"array([18, 39, 40, 59], dtype=int16)","array([1, 4], dtype=int16)"
299,132,1,"array([18, 39, 40, 59], dtype=int16)","array([1], dtype=int16)"
299,140,1,"array([18, 39, 40, 59], dtype=int16)","array([1], dtype=int16)"
299,185,1,"array([18, 39, 40, 59], dtype=int16)","array([1], dtype=int16)"
300,87,1,"array([18, 31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,88,1,"array([18, 31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,98,1,"array([18, 31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,99,1,"array([12, 18, 31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,100,1,"array([ 31,  39,  40, 191], dtype=int16)","array([1], dtype=int16)"
300,105,1,"array([11, 31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,106,1,"array([12, 14, 18, 31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,107,1,"array([18, 31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,108,1,"array([18, 31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,109,1,"array([18, 31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,127,1,"array([18, 31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,128,1,"array([12, 18, 31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,181,1,"array([18, 31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,198,1,"array([ 31,  39,  40, 191], dtype=int16)","array([1], dtype=int16)"
300,203,1,"array([18, 31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,257,1,"array([31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,259,3,"array([19, 31, 39, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
300,261,1,"array([31, 38, 39, 40, 43], dtype=int16)","array([1], dtype=int16)"
300,262,1,"array([31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,263,1,"array([31, 39, 40, 46], dtype=int16)","array([1], dtype=int16)"
300,264,3,"array([31, 38, 39, 40], dtype=int16)","array([1, 3], dtype=int16)"
300,292,1,"array([31, 39, 41, 40, 43], dtype=int16)","array([1], dtype=int16)"
300,299,1,"array([31, 39, 40, 59], dtype=int16)","array([1], dtype=int16)"
300,301,1,"array([31, 39, 41, 40], dtype=int16)","array([1], dtype=int16)"
300,348,1,"array([31, 39, 40, 63], dtype=int16)","array([1], dtype=int16)"
300,350,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,351,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,352,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,353,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,354,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,355,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,356,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,357,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,358,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,359,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,360,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,361,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,362,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,363,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,364,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,365,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,366,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,367,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,368,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,369,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,370,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,371,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,372,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,373,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,374,1,"array([31, 39, 40, 65], dtype=int16)","array([1], dtype=int16)"
300,375,1,"array([31, 39, 40, 67], dtype=int16)","array([1], dtype=int16)"
300,376,1,"array([31, 39, 40, 67], dtype=int16)","array([1], dtype=int16)"
300,377,1,"array([31, 39, 40, 43], dtype=int16)","array([1], dtype=int16)"
300,378,2,"array([31, 39, 40, 67], dtype=int16)","array([1, 8], dtype=int16)"
300,379,1,"array([31, 39, 40, 67], dtype=int16)","array([1], dtype=int16)"
300,380,2,"array([31, 39, 40, 64], dtype=int16)","array([1, 8], dtype=int16)"
300,381,1,"array([31, 39, 40, 64], dtype=int16)","array([1], dtype=int16)"
300,382,2,"array([31, 39, 40, 64], dtype=int16)","array([1, 8], dtype=int16)"
300,383,1,"array([31, 39, 40, 64], dtype=int16)","array([1], dtype=int16)"
300,384,1,"array([31, 39, 40, 68], dtype=int16)","array([1], dtype=int16)"
300,385,2,"array([31, 39, 40], dtype=int16)","array([1, 8], dtype=int16)"
300,386,1,"array([31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,387,1,"array([31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,388,1,"array([31, 39, 40, 69], dtype=int16)","array([1], dtype=int16)"
300,389,1,"array([31, 39, 40, 69], dtype=int16)","array([1], dtype=int16)"
300,390,1,"array([31, 39, 40, 70], dtype=int16)","array([1], dtype=int16)"
300,391,1,"array([31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,392,1,"array([31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,393,1,"array([31, 39, 40, 41], dtype=int16)","array([1], dtype=int16)"
300,394,1,"array([31, 39, 40, 41, 43], dtype=int16)","array([1], dtype=int16)"
300,395,1,"array([31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,396,1,"array([31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,397,1,"array([31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,398,1,"array([31, 39, 40, 71], dtype=int16)","array([1], dtype=int16)"
300,399,1,"array([31, 39, 40, 60], dtype=int16)","array([1], dtype=int16)"
300,427,1,"array([31, 39, 40, 41], dtype=int16)","array([1], dtype=int16)"
300,436,1,"array([31, 39, 40], dtype=int16)","array([1], dtype=int16)"
300,486,2,"array([41, 39, 40], dtype=int16)","array([1, 2], dtype=int16)"
300,555,2,"array([31, 39, 40], dtype=int16)","array([1, 2], dtype=int16)"
301,258,2,"array([41, 39, 40], dtype=int16)","array([1, 4], dtype=int16)"
301,260,1,"array([31, 39, 41], dtype=int16)","array([1], dtype=int16)"
301,361,1,"array([31, 39, 41, 65], dtype=int16)","array([1], dtype=int16)"
301,362,1,"array([31, 39, 41, 65], dtype=int16)","array([1], dtype=int16)"
301,363,1,"array([31, 39, 41, 65], dtype=int16)","array([1], dtype=int16)"
301,364,1,"array([31, 39, 41, 65], dtype=int16)","array([1], dtype=int16)"
301,365,1,"array([31, 39, 41, 65], dtype=int16)","array([1], dtype=int16)"
301,366,1,"array([31, 39, 41, 65], dtype=int16)","array([1], dtype=int16)"
301,367,1,"array([31, 39, 41, 65], dtype=int16)","array([1], dtype=int16)"
301,368,1,"array([31, 39, 41, 65], dtype=int16)","array([1], dtype=int16)"
301,369,1,"array([31, 39, 41, 65], dtype=int16)","array([1], dtype=int16)"
301,370,2,"array([ 30,  31,  41,  39, 197], dtype=int16)","array([1, 2], dtype=int16)"
301,371,1,"array([31, 39, 41, 65], dtype=int16)","array([1], dtype=int16)"
301,372,1,"array([31, 39, 41, 65], dtype=int16)","array([1], dtype=int16)"
301,373,1,"array([31, 39, 41, 65], dtype=int16)","array([1], dtype=int16)"
301,374,1,"array([31, 39, 41, 65], dtype=int16)","array([1], dtype=int16)"
301,377,1,"array([19, 31, 39, 41], dtype=int16)","array([1], dtype=int16)"
301,397,1,"array([31, 39, 41], dtype=int16)","array([1], dtype=int16)"
301,421,3,"array([19, 31, 39, 41], dtype=int16)","array([1, 4, 8], dtype=int16)"
301,436,1,"array([31, 39, 41], dtype=int16)","array([1], dtype=int16)"
301,437,1,"array([31, 39, 41], dtype=int16)","array([1], dtype=int16)"
301,460,1,"array([31, 39, 40, 41], dtype=int16)","array([1], dtype=int16)"
301,461,1,"array([31, 39, 41], dtype=int16)","array([1], dtype=int16)"
301,462,1,"array([31, 39, 41], dtype=int16)","array([1], dtype=int16)"
301,463,1,"array([31, 39, 40, 41], dtype=int16)","array([1], dtype=int16)"
301,481,2,"array([31, 39, 41, 47], dtype=int16)","array([1, 2], dtype=int16)"
301,482,2,"array([31, 39, 40, 41], dtype=int16)","array([1, 2], dtype=int16)"
301,483,2,"array([31, 39, 41, 75, 76], dtype=int16)","array([1, 2], dtype=int16)"
301,484,2,"array([31, 39, 41, 76], dtype=int16)","array([1, 2], dtype=int16)"
301,485,2,"array([31, 39, 41], dtype=int16)","array([1, 2], dtype=int16)"
301,486,2,"array([31, 39, 41], dtype=int16)","array([1, 2], dtype=int16)"
301,487,3,"array([ 2, 18, 31, 33, 39, 41], dtype=int16)","array([1, 4, 8, 9], dtype=int16)"
302,220,3,"array([18, 39, 41], dtype=int16)","array([1, 3], dtype=int16)"
302,221,2,"array([18, 39, 41], dtype=int16)","array([1, 4], dtype=int16)"
302,222,2,"array([18, 39, 41], dtype=int16)","array([1, 4], dtype=int16)"
302,223,2,"array([18, 33, 39, 41], dtype=int16)","array([1, 4], dtype=int16)"
302,224,3,"array([33, 39, 41], dtype=int16)","array([1, 4, 5], dtype=int16)"
302,225,3,"array([33, 39, 41], dtype=int16)","array([1, 4, 5], dtype=int16)"
302,226,3,"array([11, 39, 41], dtype=int16)","array([1, 3], dtype=int16)"
302,227,3,"array([28, 39, 41], dtype=int16)","array([1, 3], dtype=int16)"
302,228,3,"array([33, 39, 41], dtype=int16)","array([1, 4, 8], dtype=int16)"
303,0,2,"array([ 1,  2, 39], dtype=int16)","array([1, 9], dtype=int16)"
303,9,3,"array([ 1,  5,  6,  7, 41], dtype=int16)","array([1, 3, 7], dtype=int16)"
303,10,2,"array([ 14,  41, 191], dtype=int16)","array([1, 9], dtype=int16)"
303,21,1,"array([ 8, 41], dtype=int16)","array([1], dtype=int16)"
303,22,1,"array([ 8, 41], dtype=int16)","array([1], dtype=int16)"
303,23,1,"array([ 8, 41], dtype=int16)","array([1], dtype=int16)"
303,24,1,"array([ 8, 41], dtype=int16)","array([1], dtype=int16)"
303,25,2,"array([ 9, 10, 11, 12, 41], dtype=int16)","array([1, 5], dtype=int16)"
303,26,1,"array([ 14,  41, 191], dtype=int16)","array([1], dtype=int16)"
303,29,3,"array([ 6, 10, 33, 41], dtype=int16)","array([1, 3], dtype=int16)"
303,30,3,"array([11, 12, 41], dtype=int16)","array([1, 3], dtype=int16)"
303,31,2,"array([12, 33, 41], dtype=int16)","array([1, 5], dtype=int16)"
303,32,2,"array([12, 33, 41], dtype=int16)","array([1, 5], dtype=int16)"
303,33,2,"array([12, 41], dtype=int16)","array([1, 5], dtype=int16)"
303,70,1,"array([14, 18, 41], dtype=int16)","array([1], dtype=int16)"
303,83,1,"array([18, 41], dtype=int16)","array([1], dtype=int16)"
303,84,1,"array([18, 41], dtype=int16)","array([1], dtype=int16)"
303,233,1,"array([32, 39], dtype=int16)","array([1], dtype=int16)"
303,242,3,"array([ 6, 18, 31, 35], dtype=int16)","array([1, 2, 7], dtype=int16)"
303,243,2,"array([35, 41], dtype=int16)","array([1, 7], dtype=int16)"
303,244,2,"array([ 31,  41, 191], dtype=int16)","array([1, 2], dtype=int16)"
303,245,2,"array([31, 41], dtype=int16)","array([1, 2], dtype=int16)"
303,438,3,"array([  6,  39, 191], dtype=int16)","array([1, 3], dtype=int16)"
303,439,3,"array([38, 39, 41], dtype=int16)","array([1, 3], dtype=int16)"
303,440,3,"array([ 6, 24], dtype=int16)","array([1, 3], dtype=int16)"
304,239,1,"array([30, 34, 41], dtype=int16)","array([1], dtype=int16)"
304,240,1,"array([30, 41], dtype=int16)","array([1], dtype=int16)"
304,241,2,"array([35, 41], dtype=int16)","array([1, 5], dtype=int16)"
304,242,3,"array([ 6, 31, 35, 41], dtype=int16)","array([1, 2, 7], dtype=int16)"
304,243,2,"array([35, 41], dtype=int16)","array([1, 7], dtype=int16)"
304,244,2,"array([ 31,  35, 191], dtype=int16)","array([1, 2], dtype=int16)"
304,245,2,"array([31, 41], dtype=int16)","array([1, 2], dtype=int16)"
304,246,2,"array([12, 41], dtype=int16)","array([1, 7], dtype=int16)"
304,247,1,"array([35, 41], dtype=int16)","array([1], dtype=int16)"
304,248,1,"array([31, 41], dtype=int16)","array([1], dtype=int16)"
304,249,1,"array([31, 36, 41], dtype=int16)","array([1], dtype=int16)"
304,253,3,"array([19, 41, 42], dtype=int16)","array([1, 4, 5], dtype=int16)"
304,254,3,"array([19, 41, 42], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
304,255,3,"array([19, 41], dtype=int16)","array([1, 4, 5], dtype=int16)"
304,256,1,"array([39, 40, 41], dtype=int16)","array([1], dtype=int16)"
304,294,1,"array([35, 41, 56, 67], dtype=int16)","array([1], dtype=int16)"
304,296,1,"array([35, 41], dtype=int16)","array([1], dtype=int16)"
304,303,1,"array([39, 41], dtype=int16)","array([1], dtype=int16)"
304,304,1,"array([41], dtype=int16)","array([1], dtype=int16)"
304,305,1,"array([41, 60], dtype=int16)","array([1], dtype=int16)"
304,436,1,"array([39, 41], dtype=int16)","array([1], dtype=int16)"
304,437,1,"array([39, 41], dtype=int16)","array([1], dtype=int16)"
304,438,3,"array([  6,  41, 191], dtype=int16)","array([1, 3], dtype=int16)"
304,463,1,"array([39, 41], dtype=int16)","array([1], dtype=int16)"
304,499,2,"array([16, 41], dtype=int16)","array([ 1, 10], dtype=int16)"
304,500,3,"array([ 2, 16, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
304,562,3,"array([ 38,  39,  41, 198], dtype=int16)","array([1, 2, 6], dtype=int16)"
304,567,1,"array([41, 88], dtype=int16)","array([1], dtype=int16)"
304,569,3,"array([  6,  41, 198], dtype=int16)","array([1, 2, 3, 6], dtype=int16)"
305,162,1,"array([19, 60], dtype=int16)","array([1], dtype=int16)"
305,163,1,"array([18, 60], dtype=int16)","array([1], dtype=int16)"
305,164,1,"array([18, 60], dtype=int16)","array([1], dtype=int16)"
305,165,1,"array([18, 60], dtype=int16)","array([1], dtype=int16)"
305,166,1,"array([18, 60], dtype=int16)","array([1], dtype=int16)"
305,167,1,"array([18, 60], dtype=int16)","array([1], dtype=int16)"
305,168,1,"array([18, 60], dtype=int16)","array([1], dtype=int16)"
305,393,1,"array([31, 41, 60], dtype=int16)","array([1], dtype=int16)"
305,429,3,"array([39, 60], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
305,463,1,"array([40, 41, 60], dtype=int16)","array([1], dtype=int16)"
305,464,3,"array([19, 60], dtype=int16)","array([1, 4, 8], dtype=int16)"
305,517,3,"array([19, 60], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
306,176,3,"array([19], dtype=int16)","array([1, 2, 4, 8], dtype=int16)"
307,146,2,"array([14, 19], dtype=int16)","array([1, 3, 4, 5], dtype=int16)"
308,203,1,"array([12, 19, 61], dtype=int16)","array([1], dtype=int16)"
309,169,1,"array([18, 61], dtype=int16)","array([1], dtype=int16)"
310,91,1,"array([18, 61], dtype=int16)","array([1], dtype=int16)"
311,78,1,"array([14, 18, 22, 61], dtype=int16)","array([1], dtype=int16)"
311,151,1,"array([14, 18, 22, 61], dtype=int16)","array([1], dtype=int16)"
312,125,1,"array([18, 61], dtype=int16)","array([1], dtype=int16)"
313,149,1,"array([14, 18, 22, 61], dtype=int16)","array([1], dtype=int16)"
313,150,1,"array([14, 18, 22, 61], dtype=int16)","array([1], dtype=int16)"
314,163,1,"array([18, 61], dtype=int16)","array([1], dtype=int16)"
315,128,1,"array([12, 18, 61], dtype=int16)","array([1], dtype=int16)"
316,124,1,"array([18, 61], dtype=int16)","array([1], dtype=int16)"
317,143,1,"array([14, 18, 61], dtype=int16)","array([1], dtype=int16)"
317,147,1,"array([14, 18, 22, 61], dtype=int16)","array([1], dtype=int16)"
318,146,1,"array([14, 18, 61], dtype=int16)","array([1], dtype=int16)"
319,175,1,"array([18, 24, 27, 61], dtype=int16)","array([1], dtype=int16)"
320,176,1,"array([18, 61], dtype=int16)","array([1], dtype=int16)"
321,61,1,"array([18, 61], dtype=int16)","array([1], dtype=int16)"
322,180,1,"array([61], dtype=int16)","array([1], dtype=int16)"
323,113,1,"array([18, 61], dtype=int16)","array([1], dtype=int16)"
323,130,1,"array([18, 61], dtype=int16)","array([1], dtype=int16)"
324,66,1,"array([18, 61], dtype=int16)","array([1], dtype=int16)"
325,140,1,"array([18, 61], dtype=int16)","array([1], dtype=int16)"
326,48,3,"array([14, 18, 43, 61], dtype=int16)","array([1, 3], dtype=int16)"
326,63,3,"array([18, 43, 61], dtype=int16)","array([1, 3], dtype=int16)"
327,58,3,"array([14, 18, 43, 62], dtype=int16)","array([1, 3], dtype=int16)"
327,59,3,"array([18, 43, 62], dtype=int16)","array([1, 3], dtype=int16)"
327,62,3,"array([14, 18, 43, 62], dtype=int16)","array([1, 3], dtype=int16)"
328,124,3,"array([18, 24, 62], dtype=int16)","array([1, 3], dtype=int16)"
328,136,3,"array([12, 14, 18, 62], dtype=int16)","array([1, 3], dtype=int16)"
328,137,3,"array([18, 62], dtype=int16)","array([1, 3], dtype=int16)"
329,119,3,"array([14, 18, 62], dtype=int16)","array([1, 3], dtype=int16)"
329,125,3,"array([18, 62], dtype=int16)","array([1, 3], dtype=int16)"
329,185,3,"array([18, 62], dtype=int16)","array([1, 3], dtype=int16)"
329,186,3,"array([18, 62], dtype=int16)","array([1, 3], dtype=int16)"
330,152,2,"array([18, 62], dtype=int16)","array([1, 8], dtype=int16)"
330,155,2,"array([14, 18, 62], dtype=int16)","array([1, 8], dtype=int16)"
331,128,2,"array([18, 62], dtype=int16)","array([1, 8], dtype=int16)"
332,125,2,"array([12, 18, 62], dtype=int16)","array([1, 8], dtype=int16)"
332,145,2,"array([14, 18, 62], dtype=int16)","array([1, 8], dtype=int16)"
333,139,2,"array([18, 62], dtype=int16)","array([1, 8], dtype=int16)"
334,138,2,"array([14, 62], dtype=int16)","array([1, 8], dtype=int16)"
334,141,2,"array([12, 18, 62], dtype=int16)","array([1, 8], dtype=int16)"
334,157,2,"array([12, 25, 62], dtype=int16)","array([1, 8], dtype=int16)"
335,124,2,"array([18, 62], dtype=int16)","array([1, 8], dtype=int16)"
335,138,2,"array([14, 62], dtype=int16)","array([1, 8], dtype=int16)"
335,157,2,"array([12, 25, 62], dtype=int16)","array([1, 8], dtype=int16)"
336,48,2,"array([18, 62], dtype=int16)","array([1, 8], dtype=int16)"
336,154,2,"array([14, 18, 62], dtype=int16)","array([1, 8], dtype=int16)"
337,112,2,"array([18, 62], dtype=int16)","array([1, 8], dtype=int16)"
338,97,2,"array([18, 62], dtype=int16)","array([1, 8], dtype=int16)"
338,155,2,"array([14, 18, 62], dtype=int16)","array([1, 8], dtype=int16)"
339,197,2,"array([14, 18, 62], dtype=int16)","array([1, 8], dtype=int16)"
340,139,2,"array([18, 62], dtype=int16)","array([1, 8], dtype=int16)"
340,194,2,"array([18, 62], dtype=int16)","array([1, 8], dtype=int16)"
341,134,2,"array([12, 14, 18, 62], dtype=int16)","array([1, 8], dtype=int16)"
342,128,2,"array([12, 18, 62], dtype=int16)","array([1, 8], dtype=int16)"
343,124,2,"array([18, 62], dtype=int16)","array([1, 8], dtype=int16)"
344,106,2,"array([12, 14, 18, 62], dtype=int16)","array([1, 8], dtype=int16)"
344,108,2,"array([18, 22, 62], dtype=int16)","array([1, 8], dtype=int16)"
344,122,2,"array([18, 22, 62], dtype=int16)","array([1, 8], dtype=int16)"
344,257,2,"array([39, 41, 62, 67], dtype=int16)","array([1, 8], dtype=int16)"
344,258,3,"array([18, 24, 62, 67], dtype=int16)","array([1, 4, 8], dtype=int16)"
