# index, organization, location, vid, name, gender, _pos
321,992516178,3712 SKIEN,60,BORGESTAD INDUSTRIES ASA,0,"array([ 43.23619844, -13.18297481])"
322,0,,968,Christen Knudsen,1,"array([ 42.2037672 , -12.94423614])"
323,0,,2012,Hedda Foss Five,2,"array([ 43.4767741 , -14.23450239])"
324,0,,4515,Reidar Huglen,1,"array([ 43.94640362, -12.36101081])"
325,974442167,0473 OSLO,61,BOUVET ASA,0,"array([-5.83822024, 26.88021069])"
326,0,,1702,Grethe Høiland,2,"array([-4.92322307, 25.16270429])"
327,0,,4503,Randi Helene Røed,2,"array([-6.93551775, 27.74694855])"
328,0,,5506,Tormod Hermansen,1,"array([-6.00574873, 28.13020032])"
329,983259197,1653 SELLEBAKK,62,BRYLLUPSMAGASINET NORGE ASA,0,"array([ 7.04885924, 44.54179668])"
330,0,,3269,Lars-Krister Dahlqvist,1,"array([ 7.59193083, 43.65453663])"
331,0,,4458,Pia Anette Dahlqvist,2,"array([ 5.97495454, 44.57118962])"
332,0,,5420,Tord Anders Magnus Wallgren,1,"array([ 7.64038392, 45.41933246])"
333,988737798,0250 OSLO,63,BWG HOMES ASA,0,"array([-25.79460147,  17.73599742])"
334,0,,1432,Eva Christina Eriksson,2,"array([-26.54027661,  18.92070757])"
335,0,,1996,Harald Walther,1,"array([-26.96817792,  17.22888362])"
336,0,,2016,Hege Bømark,2,"array([-23.57212294,  16.91386336])"
337,0,,4437,Petter Fredrik Neslein,1,"array([-27.29172387,  18.22284408])"
338,971232390,0257 OSLO,64,BYGD&Oslash; ALL&Eacute; FINANSSENTER ASA,0,"array([-15.93223156, -12.13102984])"
339,0,,1677,Gjermund Torp,1,"array([-16.18703318, -13.39724985])"
340,0,,2354,Jan-Petter Enbusk,1,"array([-17.09388279, -12.57626735])"
341,979165285,4700 VENNESLA,65,BYGGMA ASA,0,"array([-32.67929275, -24.14746522])"
342,0,,1619,Geir Olav Drangsland,1,"array([-33.90162946, -24.18197861])"
343,0,,3594,Maria Loen,2,"array([-33.07481581, -25.30581208])"
344,0,,3872,Nicolai Jarlsby,1,"array([-33.19168621, -23.06221559])"
345,0,,4823,Siv Karin Einstabland Kvåli,2,"array([-31.80103324, -24.97412062])"
346,0,,5160,Terje Gunnulfsen,1,"array([-31.60179713, -23.38769041])"
347,976929284,1383 ASKER,66,CAMBI ASA,0,"array([11.41729991, 45.0248779 ])"
348,0,,221,Anne Eva Catharina Nystedt Ringborg,2,"array([12.02520532, 46.04640706])"
349,0,,1045,Cornelia Ann O Neill Kormeseth,2,"array([10.69017688, 45.96345621])"
350,0,,1535,Fredrik Stange,1,"array([12.51145691, 44.68876961])"
351,0,,3189,Kristen Fretheim,1,"array([10.35714176, 44.58039704])"
352,0,,4302,Per Audun Lillebø,1,"array([11.47561143, 43.83672936])"
353,977311632,0252 OSLO,67,CAMILLO EITZEN &amp; CO ASA,0,"array([-11.33145082,  12.78392477])"
354,0,,2753,Jørgen Lund,1,"array([-13.14000531,  14.70507998])"
355,0,,3934,Nina Braaten Eitzen,2,"array([-11.6550035 ,  14.00709875])"
356,0,,4416,Peter Hald Appel,1,"array([-12.52330266,  13.1760216 ])"
357,0,,4822,Siv Jønland Staubo,2,"array([-12.34667848,  17.60947435])"
358,977473799,0254 OSLO,68,CAR ASA,0,"array([-26.0274001 ,  35.14936571])"
359,0,,853,Britt Kollstrøm,2,"array([-26.225817  ,  33.94422069])"
360,0,,1756,Gunnar Holen,1,"array([-27.15219259,  35.53580495])"
361,0,,2907,Karita Bekkemellem,2,"array([-26.52437326,  36.43078813])"
362,0,,4034,Øivind Solvang,1,"array([-25.17551427,  34.34152743])"
363,0,,4310,Per Christian Greter Hoel,1,"array([-25.45705989,  36.1575772 ])"
364,0,,5079,Svein Vier Simensen,1,"array([-24.20208611,  35.48573109])"
365,944575618,0253 OSLO,69,CARBON OIL ASA,0,"array([43.48034077,  4.06024041])"
366,0,,180,Anna Maria Lund,2,"array([44.6066342 ,  4.22837639])"
367,0,,311,Ariane Stiebitz,2,"array([43.68677687,  2.95905245])"
368,0,,2003,Hauke Matthias Jürgens,1,"array([42.38265752,  3.89209493])"
369,0,,2406,Jan Helge Hassel,1,"array([43.28445112,  5.14216701])"
370,936310974,0106 OSLO,70,CARNEGIE ASA,0,"array([-18.01628534,  24.05452403])"
371,0,,102,Anders Onarheim,1,"array([-19.25101542,  24.23047081])"
372,0,,3553,Mai-Lill Ibsen,2,"array([-16.2255071 ,  21.80890336])"
373,0,,3711,Mats-Olof Wilhelm Ljungquist,1,"array([-18.59417682,  25.1706051 ])"
374,0,,3719,Matti Kinnunen,1,"array([-17.59659948,  25.19546503])"
375,0,,5007,Susanne Lene Schneider,2,"array([-19.54381434,  25.7556878 ])"
376,988716278,0160 OSLO,71,CASTELAR CORPORATE FINANCE ASA,0,"array([ 3.04129054, -5.48366168])"
377,0,,1305,Endre Tarald Glastad,1,"array([ 2.31417598, -6.46098445])"
378,0,,2676,Johnny Ballestad,1,"array([ 2.26801359, -5.10332289])"
379,0,,5203,Terje Sommer,1,"array([ 3.48841507, -6.40729834])"
380,992384735,4005 STAVANGER,72,CAVEO EIENDOM 1 ASA,0,"array([30.12543949, 43.9840509 ])"
381,0,,2440,Jan Martin Kristiansen,1,"array([29.63132423, 43.000764  ])"
382,0,,3248,Kristoffer Danielsen,1,"array([29.59575977, 44.90458372])"
383,0,,3586,Mari Lill Gjerde Holm,2,"array([31.19332383, 44.09332363])"
384,938803595,4841 ARENDAL,73,CECON ASA,0,"array([ 1.42265438, -1.22545975])"
385,0,,189,Anne-Lene Midseim,2,"array([ 2.36382722, -0.85131977])"
386,0,,427,Arve Andersson,1,"array([-1.04658965,  1.88860632])"
387,0,,4738,Sidney Joseph Hynes,1,"array([ 1.25681988, -2.4941585 ])"
388,0,,5068,Svein Sandvik,1,"array([ 2.30271375, -2.10424878])"
389,990638829,0579 OSLO,74,CENTENNIAL ASA,0,"array([33.148689  , 40.81876419])"
390,0,,877,Camilla Røsjø,2,"array([32.15798644, 40.44434639])"
391,0,,1302,Endre Røsjø,1,"array([33.87903888, 39.74099717])"
392,0,,4089,Ole Bård Jacobsen,1,"array([33.99185524, 40.78694038])"
393,992299088,0575 OSLO,75,CENTENNIAL EIENDOM ASA,0,"array([33.05193362, 39.89938661])"
394,971647949,0151 OSLO,76,CERMAQ ASA,0,"array([-7.09079502,  4.87424853])"
395,0,,500,Astrid Evenseth Sørgaard,2,"array([-7.82692774,  5.34814693])"
396,0,,1488,Finn Marum Jebsen,1,"array([-3.49842959,  8.34300025])"
397,0,,3043,Kjell Gunnar Frøyslid,1,"array([-6.59174694,  3.81779933])"
398,0,,4743,Sigbjørn Johnsen,1,"array([-7.51966903,  3.90063325])"
399,0,,5712,Wenche Kjølås,2,"array([-10.84457415,   1.76800196])"
400,965522441,0134 OSLO,77,CICERO FORLAG ASA,0,"array([-9.56683018, 41.75128849])"
401,0,,344,Arne Bergh,1,"array([-8.60174141, 42.18358272])"
402,0,,622,Benthe Elisabeth Løvenskiold Kveseth,2,"array([-9.58881509, 40.72164952])"
403,0,,5035,Svein Erik Sigurdssøn,1,"array([-10.47104332,  42.2974226 ])"
404,982161061,2004 LILLESTR&Oslash;M,78,CITUM ASA,0,"array([42.70285531, -0.7008431 ])"
405,0,,1078,Dan-Viggo Bergtun,1,"array([43.39168815, -1.49217546])"
406,0,,1428,Eva Anna-Lee Bergtun,2,"array([41.6678799 , -0.73627479])"
407,0,,3132,Knut Arctander Pedersen,1,"array([43.10729526,  0.27921753])"
408,983733506,0256 OSLO,79,CLAVIS PHARMA ASA,0,"array([-26.48932023,  10.77836416])"
409,0,,888,Carl Christian Gilhuus-Moe,1,"array([-27.50538427,  11.43228417])"
410,0,,1132,Edward Karol Sikora,1,"array([-27.52671033,   9.90228149])"
411,0,,1630,Geir Stormorken,1,"array([-26.43949065,   9.71333104])"
412,0,,3921,Nils Olof Johansson,1,"array([-28.11361878,  10.67116863])"
413,0,,4988,Stina Margareta Gestrelius,2,"array([-26.38206533,  11.81516128])"
414,985206732,3204 SANDEFJORD,80,CLIENT COMPUTING EUROPE ASA,0,"array([-19.29132022,  36.43731875])"
415,0,,1008,Christian Syverstad,1,"array([-18.35433193,  37.17052068])"
416,0,,2631,John Arthur Olafsen,1,"array([-19.20958127,  35.3238488 ])"
417,0,,3652,Marit Elisabeth Døving,2,"array([-20.8206996 ,  36.92995446])"
418,0,,5531,Tove Elisabeth Pettersen,2,"array([-18.11729113,  35.96733535])"
419,979526903,0180 OSLO,81,CLUE NORGE ASA,0,"array([ 33.55615096, -17.22525255])"
420,0,,1270,Elizabeth Schilling,2,"array([ 34.42726982, -16.6304318 ])"
421,0,,2447,Jan Øistein Nielsen,1,"array([ 32.57337585, -16.8563471 ])"
422,0,,3799,Monica Nielsen,2,"array([ 33.72834996, -18.24227727])"
423,984186614,8120 NYG&Aring;RDSJ&Oslash;EN,82,CODFARMERS ASA,0,"array([19.38563018, 40.19399426])"
424,0,,186,Anne-Gro Gulla,2,"array([20.62438262, 40.56718926])"
425,0,,1381,Erik Wahlstrøm,1,"array([19.9806806, 41.3162825])"
426,0,,1960,Harald Dahl,1,"array([18.37181209, 40.8647504 ])"
427,0,,3610,Marianne Elisabeth Johnsen,2,"array([18.38954795, 39.28200636])"
428,0,,4107,Ole Jacob Myre,1,"array([19.95189208, 39.15486885])"
429,958815018,0250 OSLO,83,COLOR GROUP ASA,0,"array([6.97237908, 3.0356568 ])"
430,0,,3746,Mette Krabberød,2,"array([7.36764712, 2.02758266])"
431,0,,4072,Olav Nils Sunde,1,"array([7.82208632, 3.60603734])"
432,952977482,1738 BORGENHAUGEN,84,COMPUSOFT ASA,0,"array([ 39.40368772, -15.97570114])"
433,0,,878,Camilla Tellefsdal Robstad,2,"array([ 38.36088273, -16.27412374])"
434,0,,2430,Jan Lindstad,1,"array([ 39.54466339, -14.93810078])"
435,0,,4937,Stephan Omer Theophiel Temmerman,1,"array([ 40.23146649, -16.6457588 ])"
436,990295697,4120 TAU,85,COMROD COMMUNICATION ASA,0,"array([ 7.17596475, 16.18968725])"
437,0,,1329,Erik Espeset,1,"array([ 8.01860108, 16.98478995])"
438,0,,3324,Lars Niklas Hermansson,1,"array([ 8.52374795, 16.09979655])"
439,0,,3730,Merete Alnes Mostue,2,"array([ 6.66440385, 15.38146482])"
440,0,,4497,Randi Elin Hognestad,2,"array([ 7.94965248, 15.35270914])"
441,0,,5444,Tore Johan Fjell,1,"array([ 6.38964281, 16.81380889])"
442,988217867,1383 ASKER,86,CONCEDO ASA,0,"array([-15.65184343,  30.74609944])"
443,0,,1350,Erik Klausen,1,"array([-15.45147896,  32.08697498])"
444,0,,2036,Hege Wullum,2,"array([-16.8513166 ,  30.69103063])"
445,0,,2858,Karen Sund,2,"array([-14.59325214,  31.26585344])"
446,0,,4059,Olav Fjell,1,"array([-16.52817503,  31.77827284])"
447,888571302,4032 STAVANGER,87,CONTRACT CO ALFA ASA,0,"array([11.38470198, 17.20377448])"
448,0,,1589,Geir Atle Sjøberg,1,"array([12.25571252, 17.75113989])"
449,0,,2197,Ina Merete Flaatin,2,"array([12.63721996, 16.87856139])"
450,988571326,4032 STAVANGER,88,CONTRACT CO BETA ASA,0,"array([11.70293965, 16.50206113])"
451,990565791,0106 OSLO,89,COPEINCA ASA,0,"array([-0.83764038, -8.46882649])"
452,0,,975,Christian Atle Lundstrøm Selmer,1,"array([-0.71087733, -9.46942495])"
453,0,,2303,Isabelle Lodding Gresvig,2,"array([ -0.92983625, -10.35228087])"
454,0,,2305,Ivan Eduardo Orlic Ticeran,1,"array([  0.0222409 , -10.07786596])"
455,0,,2306,Ivan Franjo Orlic,1,"array([-2.40155562, -8.15209199])"
456,0,,4152,Osterlin Luis Dyer Ampuida,1,"array([-1.75247511, -7.44032097])"
457,0,,4462,Piero Martin Dyer Coriat,1,"array([-1.68197576, -8.87799967])"
458,0,,4667,Rosa Amelia Coriat Valera,2,"array([-2.48909514, -9.18531847])"
459,0,,4721,Samuel Edward Dyer Ampudia,1,"array([ 0.3711592 , -9.19717879])"
460,0,,4733,Sergio Ivan Dyer Osorio,1,"array([-0.75739806, -7.39374816])"
461,0,,4736,Sheyla Dyer Coriat,2,"array([ 0.21318312, -8.18906358])"
462,0,,5726,Wilfredo Angel Caceres Monroe,1,"array([-1.77830808, -9.89781947])"
463,976931335,4353 KLEPP STASJON,90,DATA DESIGN SYSTEM ASA,0,"array([ -1.24787733, -33.65585599])"
464,0,,682,Birgitte Nordvik,2,"array([ -0.48655065, -34.40123471])"
465,0,,1636,Geir Worum,1,"array([ -0.94574001, -32.65551685])"
466,0,,3283,Lars Christian Christensen,1,"array([ -2.26898977, -33.98541613])"
467,971125756,1323 H&Oslash;VIK,91,DATA RESPONS ASA,0,"array([20.18389324,  5.77036337])"
468,0,,216,Anne Cecilie Fagerlie,2,"array([23.3757945 ,  7.81002941])"
469,0,,2295,Ingvild Ragna Myhre,2,"array([15.57855935,  4.27322046])"
470,0,,3270,Lars-Olof Vilhelm Gustafsson,1,"array([21.33874314,  6.23740924])"
471,0,,5064,Svein Ramsay Goli,1,"array([22.84986136,  5.71361243])"
472,0,,5509,Tormod Stene-Johansen,1,"array([21.18270587,  5.1645171 ])"
473,987904275,7014 TRONDHEIM,92,DET NORSKE OLJESELSKAP ASA,0,"array([13.14668917, 11.44912323])"
474,0,,557,Barbro Lill Hætta-Jacobsen,2,"array([13.27029893, 12.75860342])"
475,0,,1434,Eva Helene Skøelv,2,"array([14.06372305, 12.04571525])"
476,0,,1784,Guri Helene Ingebrigtsen,2,"array([13.15857873, 10.39322167])"
477,0,,2309,Ivar Brandvold,1,"array([14.22997929, 10.77257211])"
478,0,,2826,Kaare Moursund Gisvold,1,"array([10.67627151, 10.76874491])"
479,0,,5447,Tore Lilloe-Olsen,1,"array([12.31116103, 11.96576413])"
480,979938799,0663 OSLO,93,DIAGENIC ASA,0,"array([-21.77916191,   3.88399352])"
481,0,,184,Anna Yvonne Monica Malm Bernsten,2,"array([-22.07370494,   4.87824501])"
482,0,,1793,Gustav Ingemar Kihlström,1,"array([-21.56210698,   2.82426391])"
483,0,,1825,Håkon Sæterøy,1,"array([-23.29186972,   3.57964127])"
484,0,,3645,Marie Skarbøvik Buchmann,2,"array([-22.66911604,   2.8373502 ])"
485,0,,4464,Praveen Sharma,2,"array([-23.08687213,   4.53307087])"
486,979543883,8037 BOD&Oslash;,94,DIPS ASA,0,"array([-33.55237274, -17.2838131 ])"
487,0,,610,Bente Larsen,2,"array([-32.26948553, -17.63370419])"
488,0,,2065,Helene Brinchmann Halvorsen,2,"array([-32.89278679, -18.42596813])"
489,0,,3010,Kirsti Kierulf,2,"array([-34.72331217, -17.97472802])"
490,0,,4436,Petter Faye-Lund,1,"array([-32.39826819, -16.59792259])"
491,0,,4861,Ståle Leitvoll,1,"array([-34.22068489, -16.12718188])"
492,0,,5370,Tor Arne Viksjø,1,"array([-33.2009603 , -15.98619982])"
493,0,,5426,Tore Berntsen,1,"array([-33.92167409, -18.59379642])"
494,0,,5571,Trond Elde,1,"array([-34.82926835, -16.94358523])"
495,981276957,0250 OSLO,95,DNB NOR ASA,0,"array([-9.05551655, 18.35570088])"
496,0,,211,Anne Carine Tanum,2,"array([-10.33912141,  18.44321168])"
497,0,,593,Bent Pedersen,1,"array([-9.4969317 , 20.21996946])"
498,0,,810,Bjørn Sund,1,"array([-9.04998821, 19.24185411])"
499,0,,2600,Johan Nicolai Vold,1,"array([-9.75881173, 17.45989446])"
500,0,,4062,Olav Hytta,1,"array([-10.22971491,  19.85730891])"
501,0,,4797,Siri Pettersen Strandenes,2,"array([-9.96211834, 14.57222704])"
502,0,,5558,Trine Sæther Romuld,2,"array([-6.53885088, 20.86307492])"
503,984851006,0250 OSLO,96,DNB NOR BANK ASA,0,"array([-10.29342539,  21.50480309])"
504,0,,2880,Kari Marie Lotsberg,2,"array([-10.66788665,  22.97011662])"
505,0,,5460,Tore Olaf Rimmereid,1,"array([-9.6935463 , 22.51645451])"
506,0,,5498,Torill Rambjør,2,"array([-11.26369223,  22.19424742])"
507,989275089,7014 TRONDHEIM,97,DNB NOR EIENDOMSINVEST I ASA,0,"array([7.74604745, 1.03675926])"
508,0,,48,Alf Boy Asheim,1,"array([7.39230362, 0.06090821])"
509,0,,1334,Erik Gjellestad,1,"array([8.70228664, 1.25407705])"
510,990953155,0251 OSLO,98,DNB NOR PRIVATE EQUITY I ASA,0,"array([ 28.78724444, -24.79276647])"
511,0,,235,Anne Hovi Worsøe,2,"array([ 27.99400548, -25.49037509])"
512,0,,2444,Jan Nylund,1,"array([ 29.82160632, -25.06196503])"
513,0,,3072,Kjell Olav Skogen,1,"array([ 28.58716604, -23.7583854 ])"
514,992090480,5014 BERGEN,99,DNB NOR SHIPPINGINVEST I ASA,0,"array([ 0.7786374 , -1.40934336])"
515,0,,3305,Lars Hoven,1,"array([-0.064627  , -2.44014987])"
516,921526121,0250 OSLO,100,DNO INTERNATIONAL ASA,0,"array([  4.44559555, -11.49860526])"
517,0,,624,Berge Gerdt Larsen,2,"array([  5.94365493, -14.59747816])"
518,0,,3658,Marit Kristin Instanes,2,"array([  3.62178287, -12.48371271])"
519,0,,5614,Trygve Bruvik,1,"array([  4.52952049, -14.94268326])"
520,935349230,5392 STOREB&Oslash;,101,DOF ASA,0,"array([-14.99543697,  -2.48783614])"
521,0,,855,Britt Mjellem,2,"array([-16.02985597,  -3.11967553])"
522,0,,2073,Helge Arvid Møgster,1,"array([-17.24974833,  -5.11561223])"
523,990512663,5392 STOREB&Oslash;,102,DOF INSTALLER ASA,0,"array([-19.46277655,  -7.67452912])"
524,0,,2141,Hilde Drønen,2,"array([-21.58714859, -10.03239382])"
525,0,,3804,Mons Svendal Aase,1,"array([-20.1087853 ,  -8.56806843])"
526,984861060,0694 OSLO,103,DOLPHIN INTERCONNECT SOLUTIONS ASA,0,"array([-20.62286975,  38.61294526])"
527,0,,61,Alf Rasmussen,1,"array([-19.47670417,  38.57922688])"
528,0,,3797,Monica June Myklebust Øyen,2,"array([-19.89552937,  39.67354284])"
529,0,,4104,Ole Henrik Eide,1,"array([-21.74380789,  38.85500956])"
530,0,,5364,Tor Alfheim,1,"array([-21.05595411,  39.82893103])"
531,960756932,6700 M&Aring;L&Oslash;Y,104,DOMSTEIN ASA,0,"array([ 4.21647428, 54.12552376])"
532,0,,1744,Gunnar Domstein,1,"array([ 3.71697459, 53.05198648])"
533,0,,1868,Hanne Refsholt,2,"array([ 3.97628601, 55.27946651])"
534,0,,2240,Inger Adele Myklebust,2,"array([ 5.1099292 , 53.35882091])"
535,0,,3167,Knut Magne Domstein,1,"array([ 5.28895881, 54.692656  ])"
536,0,,3825,Morten Frogner,1,"array([ 3.03252936, 54.24848822])"
537,981046846,0579 OSLO,105,DROPZONE ASA,0,"array([ 5.17670959, 25.11327286])"
538,0,,1801,Gyrid Skalleberg Ingerø,2,"array([ 6.41341928, 27.70356368])"
539,0,,1810,Haakon Skaarer,1,"array([ 4.03839794, 22.19097499])"
540,0,,4442,Petter Jan Fjellstad,1,"array([ 5.32218483, 26.25245011])"
541,934382404,0276 OSLO,106,EDB BUSINESS PARTNER ASA,0,"array([11.0442655 ,  1.38418703])"
542,0,,191,Anne-Lise Aukner,2,"array([12.32614293,  0.5832628 ])"
543,0,,227,Anne Grethe Dalane,2,"array([11.95485487,  1.66631332])"
544,0,,691,Bjarne Aamodt,1,"array([11.29031653,  0.35909035])"
545,0,,841,Brigitta Monica Caneman,2,"array([12.36408856, -1.54356255])"
546,0,,1920,Hans Kristian Rød,1,"array([9.29057721, 4.47203179])"
547,0,,4856,Staffan Bohman,1,"array([10.29296423,  2.01827752])"
548,986942785,5443 B&Oslash;MLO,107,EIDESVIK OFFSHORE ASA,0,"array([-13.47330873,  38.74497381])"
549,0,,831,Borgny Eidesvik,2,"array([-14.21669801,  37.76041216])"
550,0,,2334,Jakob Bleie,1,"array([-13.95096203,  39.85253414])"
551,0,,3037,Kjell Erik Jacobsen,1,"array([-14.69148673,  38.85747617])"
552,0,,3185,Kolbein Kåre Rege,1,"array([-13.00284331,  37.65094757])"
553,0,,3286,Lars Eidesvik,1,"array([-12.71769372,  39.73041828])"
554,0,,3795,Monica Havskjold,2,"array([-12.22944817,  38.62434429])"
555,910411616,0161 OSLO,108,EIDSIVA REDERI ASA,0,"array([19.07921427, -0.55692647])"
556,0,,732,Bjørn Bergsland,1,"array([19.65688214, -1.67634669])"
557,0,,3448,Line Cathrine Jørgensdatter Heje,2,"array([18.34791412, -1.21208884])"
558,0,,3950,Nini Eugenie Høegh Nergaard,2,"array([19.74856308, -3.15335661])"
559,0,,4313,Per Ditlev-Simonsen,1,"array([20.37391011, -0.94606173])"
560,0,,5246,Thomas Wilhelmsen,1,"array([19.85105907,  0.16428925])"
561,989990500,0252 OSLO,109,EITZEN CHEMICAL ASA,0,"array([-12.20740509,  20.37483547])"
562,0,,545,Axel Camillo Eitzen,1,"array([-7.88028733, 20.61663771])"
563,0,,2343,James Stove Lorentzen,1,"array([-12.45524306,  21.43930328])"
564,0,,2644,John Gordon Bernander,1,"array([-13.25062228,  20.02948328])"
565,969031140,1344 HASLUM,110,EITZEN MARITIME SERVICES ASA,0,"array([-3.43653201, 20.53115504])"
566,0,,2247,Inger Hilde Waaler,2,"array([-3.24198926, 21.79824315])"
567,0,,3742,Mette Espedal,2,"array([-4.61901907, 20.87075662])"
568,0,,3864,Naren Chandrakant Bhatt,1,"array([-2.42008645, 21.42635267])"
569,0,,4850,Sonny Hoffmann Nielsen,1,"array([-4.21522754, 21.69384607])"
570,0,,5313,Tom Kristiansen,1,"array([-4.06211244, 19.80446619])"
571,964976430,6222 IKORNNES,111,EKORNES ASA,0,"array([-14.37151207,   6.49054398])"
572,0,,1713,Gry Hege Sølsnes,2,"array([-14.62154243,   5.32738649])"
573,0,,2556,Jens Petter Ekornes,1,"array([-15.6737685 ,   6.80120699])"
574,0,,3095,Kjersti Kleven,2,"array([-12.44290688,   7.05490993])"
575,0,,4065,Olav Kjell Holtan,1,"array([-15.5455447 ,   5.81021418])"
576,0,,5482,Torger Reve,1,"array([-14.62697897,   7.43629585])"
577,816521432,0250 OSLO,112,EKSPORTFINANS ASA,0,"array([ 8.41232149, -4.68530509])"
578,0,,553,Baard Syrrist,1,"array([ 9.00355965, -5.65389135])"
579,0,,826,Bodil Palma Hollingsæter,2,"array([ 9.69053516, -4.98586702])"
580,0,,1323,Erik Borgen,1,"array([ 7.58120149, -4.049495  ])"
581,0,,3390,Leif Johan Laugen,1,"array([ 8.93831351, -3.83475343])"
582,0,,5371,Tor Bergstrøm,1,"array([ 7.73353098, -5.51113896])"
583,984195486,7041 TRONDHEIM,113,ELECTROMAGNETIC GEOSERVICES ASA,0,"array([-3.87898618, 22.96990751])"
584,0,,640,Berit Svendsen,2,"array([-4.5913207 , 24.03795055])"
585,0,,707,Bjarte Henry Bruheim,1,"array([-0.3252651 , 21.85630303])"
586,0,,1027,Christopher Alan Wright,1,"array([-3.69658525, 24.52246088])"
587,0,,1088,David Benjamin Krieger,1,"array([-5.17115566, 23.28125132])"
588,0,,2533,Jeffrey Alan Harris,1,"array([-3.05971863, 23.77728876])"
589,824545022,3036 DRAMMEN,114,ELTEK ASA,0,"array([40.16478393, 19.00868817])"
590,0,,434,Arve Johansen,1,"array([41.28164909, 18.66050032])"
591,0,,502,Astrid Kårstad,2,"array([40.82344988, 19.98118109])"
592,0,,1380,Erik Thorsen,1,"array([39.04625992, 18.61003788])"
593,0,,5000,Susan Gail Swenson,2,"array([40.1506261 , 17.80903113])"
594,0,,5732,William Herman Crown,1,"array([39.46481223, 19.93774872])"
595,984032773,4370 EGERSUND,115,ETMAN INTERNATIONAL ASA,0,"array([47.63934246,  7.67948808])"
596,0,,53,Alf Georg Aarthun,1,"array([47.78566239,  8.89085868])"
597,0,,2416,Jan Holm,1,"array([48.20783681,  6.61909079])"
598,0,,2566,Jiangang Xu,1,"array([46.57183768,  8.19234629])"
599,0,,3646,Marie Smith-Solbakken,2,"array([46.84481663,  6.81737675])"
600,0,,5766,Zhong Bei,2,"array([48.80180883,  7.93293298])"
601,964922292,0484 OSLO,116,EXENSE ASA,0,"array([31.53373926, 35.38673634])"
602,0,,51,Alf Engdal,1,"array([30.35447322, 35.38397049])"
603,0,,407,Arnhild Schia,2,"array([31.19945941, 34.2792853 ])"
604,0,,2596,Johan Fredrik Thorne,1,"array([32.49515466, 34.70278168])"
605,0,,2985,Kerstin Monika Stenberg,2,"array([32.48575261, 36.07729272])"
606,0,,4930,Sten Ihlebakke,1,"array([31.14456841, 36.49726704])"
607,983892876,1890 RAKKESTAD,117,FAKTOR EIENDOM ASA,0,"array([ 1.25055044, -4.8710412 ])"
608,0,,828,Børge Krogsrud,1,"array([ 0.11986616, -5.6675646 ])"
609,0,,2722,Jon Rømer Sandberg,1,"array([ 1.00277573, -6.05858905])"
610,0,,3355,Lasse Andre Fosby,1,"array([-0.23889551, -4.78169673])"
611,0,,5653,Unni Marie Rådalen,2,"array([ 0.57200874, -4.1126225 ])"
612,989112007,7010 TRONDHEIM,118,FARA ASA,0,"array([-11.74433377, -14.40639328])"
613,0,,217,Anne Cecilie Underthun Marstein,2,"array([-13.06752499, -15.05702948])"
614,0,,972,Christian Albech,1,"array([-10.37769356, -14.9354797 ])"
615,0,,1492,Finn Øistein Nordam,1,"array([-11.96594527, -15.46807101])"
616,0,,2462,Jan Pihl Grimnes,1,"array([-10.99293141, -12.99040294])"
617,0,,3238,Kristine Birgitte Eiken,2,"array([-12.82378834, -14.00185163])"
618,934021592,6002 &Aring;LESUND,119,FARSTAD SHIPPING ASA,0,"array([11.92643751,  7.55351271])"
619,0,,504,Astrid Koppernæs,2,"array([9.84356622, 7.49636837])"
620,0,,702,Bjarne Sælensminde,1,"array([13.222932  ,  7.07464816])"
621,0,,761,Bjørn Havnes,1,"array([11.47041541,  8.47389142])"
622,0,,1704,Gro Bakstad,2,"array([11.28733623,  6.70993185])"
623,0,,2505,Janne Grethe Strand Aasnæs,2,"array([13.32874702,  7.99887188])"
624,0,,4367,Per Norvald Sperre,1,"array([12.41004911,  6.4629375 ])"
625,0,,5109,Sverre Andreas Farstad,1,"array([12.54907218,  8.61924088])"
626,991097481,0151 OSLO,121,FEARNLEY FINANS EIENDOM ASA,0,"array([-3.71439303, 28.74856768])"
627,0,,710,Bjarte Solheim,1,"array([-3.88507905, 29.99149517])"
628,0,,2023,Hege Holstad,2,"array([-4.77911095, 28.98233169])"
629,0,,2683,Jon-Aksel Torgersen,1,"array([-2.35342167, 27.00514491])"
630,0,,3931,Nils Thomas Lien,1,"array([-4.84404817, 30.04275869])"
631,945757647,0151 OSLO,122,FEARNLEY FONDS ASA,0,"array([-2.13803133, 29.53004517])"
632,0,,177,Anna Kristina Skjevesland,2,"array([-1.14975096, 29.95964507])"
633,0,,946,Cecilie Helene Bakke,2,"array([-1.53733584, 30.9328065 ])"
634,0,,1219,Eivind Hadler-Olsen,1,"array([-2.83275297, 30.40986726])"
635,0,,1981,Harald Moræus Hanssen,1,"array([-2.47320127, 31.247118  ])"
636,982315700,0161 OSLO,123,FINANSHUSET ASA,0,"array([  9.65829713, -36.88054737])"
637,0,,23,Aileen Utkvitne,2,"array([  9.87825245, -35.67248424])"
638,0,,436,Arve Kenneth Vestvik,1,"array([  8.74217046, -36.02538867])"
639,0,,1410,Eskill Johan Ahlgren,1,"array([ 10.41188192, -37.83020927])"
640,0,,2714,Jon Ledaal,1,"array([ 11.0522521 , -36.49593317])"
641,0,,3630,Marianne Sevaldsen,2,"array([  8.42636632, -37.20358506])"
