# index, meta, _pos
628,,"array([0.41077759, 1.63484101])"
629,,"array([0.36811802, 1.63262954])"
630,,"array([0.62463361, 2.55461135])"
631,,"array([0.696097  , 2.58729025])"
632,,"array([0.59303172, 2.62553046])"
633,,"array([0.70214697, 2.55029561])"
634,,"array([0.54177195, 2.44386589])"
635,,"array([0.63365793, 2.59296548])"
636,,"array([0.66542716, 2.6123788 ])"
637,,"array([0.59979911, 2.58794619])"
638,,"array([0.66210083, 2.57437728])"
639,,"array([0.66570414, 2.53977015])"
640,,"array([0.62970348, 2.62814885])"
641,,"array([0.11721822, 2.04021017])"
642,,"array([0.08383385, 2.08993066])"
643,,"array([0.58029291, 2.39338353])"
644,,"array([0.17547375, 2.16698161])"
645,,"array([0.54168264, 2.49704886])"
646,,"array([0.50887854, 2.50227205])"
647,,"array([0.86025132, 2.23957841])"
648,,"array([0.87193908, 2.20710913])"
649,,"array([0.83383788, 2.26219527])"
650,,"array([0.83258182, 2.21252911])"
651,,"array([0.80716472, 2.23831342])"
652,,"array([0.84783882, 2.18058657])"
653,,"array([0.05860957, 1.87372626])"
654,,"array([0.03862387, 1.9856875 ])"
655,,"array([0.04831391, 1.95255844])"
656,,"array([0.02111458, 1.92949335])"
657,,"array([0.06321639, 1.91943966])"
658,,"array([0.45777504, 1.76989904])"
659,,"array([0.391299  , 1.60071212])"
660,,"array([0.70089604, 2.21362832])"
661,,"array([0.68351356, 2.17728813])"
662,,"array([0.65110839, 2.18299212])"
663,,"array([0.71326461, 2.18532295])"
664,,"array([0.66721444, 2.21375781])"
665,,"array([0.37589695, 2.51450309])"
666,,"array([0.35989529, 2.45224309])"
667,,"array([0.34321444, 2.36444874])"
668,,"array([0.47645756, 2.52213167])"
669,,"array([0.40931951, 2.53206133])"
670,,"array([0.45811787, 2.55266712])"
671,,"array([0.43934633, 2.52134851])"
672,,"array([0.49620445, 2.55026242])"
673,,"array([0.06110987, 1.62431543])"
674,,"array([-0.16318502,  1.63611193])"
675,,"array([0.06395022, 1.65228754])"
676,,"array([0.54281233, 2.28211719])"
677,,"array([0.56345471, 2.2460694 ])"
678,,"array([0.57421902, 2.28129933])"
679,,"array([0.59415556, 2.24644381])"
680,,"array([0.20904752, 2.24637787])"
681,,"array([-0.11655107,  2.31875085])"
682,,"array([-0.08947191,  2.2839876 ])"
683,,"array([-0.13179587,  2.35276   ])"
684,,"array([-0.10768984,  2.24747246])"
685,,"array([-0.20889069,  2.21264082])"
686,,"array([-0.17154681,  2.27981316])"
687,,"array([-0.14881441,  2.25017757])"
688,,"array([-0.20777022,  2.28328169])"
689,,"array([-0.16525078,  2.34157455])"
690,,"array([-0.18403424,  2.2443819 ])"
691,,"array([-0.152152  ,  2.31010845])"
692,,"array([-0.21919015,  2.24858559])"
693,,"array([-0.19129615,  2.3135685 ])"
694,,"array([-0.09429102,  2.35555766])"
695,,"array([-0.1729247 ,  2.20639579])"
696,,"array([-0.07762045,  2.3226324 ])"
697,,"array([-0.13521155,  2.21574443])"
698,,"array([-0.12939844,  2.28160843])"
699,,"array([0.64408226, 1.63497206])"
700,,"array([0.60734251, 1.6390833 ])"
701,,"array([0.62828813, 1.66515041])"
702,,"array([0.58550785, 1.66191816])"
703,,"array([0.53548088, 2.20933009])"
704,,"array([0.47388494, 2.45853011])"
705,,"array([0.50494344, 2.42124422])"
706,,"array([0.47176629, 2.42552864])"
707,,"array([0.25631393, 2.48658119])"
708,,"array([0.22117297, 2.49985656])"
709,,"array([0.19167291, 2.44436142])"
710,,"array([0.18044244, 2.47869924])"
711,,"array([0.24285391, 2.52681308])"
712,,"array([0.27338734, 2.52085498])"
713,,"array([0.21022086, 2.53809937])"
714,,"array([0.29987162, 2.49776502])"
715,,"array([0.18676389, 2.51067832])"
716,,"array([0.22077042, 2.46774873])"
717,,"array([0.19046186, 1.89118914])"
718,,"array([0.43857719, 1.36155941])"
719,,"array([0.46673959, 1.27988566])"
720,,"array([-0.06395896,  1.87798208])"
721,,"array([-0.06983306,  1.80844243])"
722,,"array([-0.10160146,  1.82835332])"
723,,"array([-0.0344691 ,  1.84043781])"
724,,"array([0.12191732, 1.91133625])"
725,,"array([-0.09797985,  1.86439612])"
726,,"array([-0.06873307,  1.84043271])"
727,,"array([-0.02661194,  1.87783034])"
728,,"array([-0.02510516,  1.80854817])"
729,,"array([-0.08227388,  1.76921842])"
730,,"array([-0.10743345,  1.79353224])"
731,,"array([-0.04882736,  1.78096236])"
732,,"array([0.18957864, 1.85384776])"
733,,"array([0.34836691, 1.76144929])"
734,,"array([0.31741432, 1.76972601])"
735,,"array([0.74944581, 1.76521188])"
736,,"array([0.94148528, 1.73797397])"
737,,"array([0.91033688, 1.7254228 ])"
738,,"array([0.92915503, 1.77541987])"
739,,"array([0.88846758, 1.69642434])"
740,,"array([0.82933408, 1.64482879])"
741,,"array([0.89846479, 1.75797976])"
742,,"array([0.8184017 , 1.68033267])"
743,,"array([0.86726111, 1.64622935])"
744,,"array([0.87247853, 1.72900906])"
745,,"array([0.89938155, 1.66407422])"
746,,"array([0.83929903, 1.71640806])"
747,,"array([0.92789267, 1.69353694])"
748,,"array([0.89505857, 1.79769328])"
749,,"array([0.86233994, 1.76554489])"
750,,"array([0.85781097, 1.68105938])"
751,,"array([0.57659785, 1.71348554])"
752,,"array([0.5527904 , 1.69023957])"
753,,"array([0.53812784, 1.72164564])"
754,,"array([0.65469153, 2.14990245])"
755,,"array([0.32679476, 2.19373573])"
756,,"array([0.14765803, 1.35030054])"
757,,"array([-2.62998966e-04,  1.43887134e+00])"
758,,"array([0.07778102, 1.47233784])"
759,,"array([0.19734328, 1.40631573])"
760,,"array([0.03781352, 1.45257592])"
761,,"array([0.15785876, 1.42397483])"
762,,"array([0.15057372, 1.38648877])"
763,,"array([0.00465796, 1.47707121])"
764,,"array([0.00617725, 1.40332388])"
765,,"array([0.16947099, 1.63399187])"
766,,"array([0.03954858, 1.41839318])"
767,,"array([0.09159119, 1.32931914])"
768,,"array([0.18269805, 1.37121436])"
769,,"array([0.07346181, 1.43471966])"
770,,"array([0.08304294, 1.36581085])"
771,,"array([0.04148679, 1.49355122])"
772,,"array([0.08472572, 1.40194636])"
773,,"array([0.02487561, 1.37061437])"
774,,"array([0.1991338 , 1.62321159])"
775,,"array([0.21126866, 1.35282563])"
776,,"array([0.11618999, 1.36216591])"
777,,"array([0.17621141, 1.32963445])"
778,,"array([0.12800198, 1.3214392 ])"
779,,"array([0.05458391, 1.387039  ])"
780,,"array([0.05442843, 1.34516547])"
781,,"array([0.11450662, 1.44000859])"
782,,"array([0.11901531, 1.39988567])"
783,,"array([0.97167215, 1.80716677])"
784,,"array([0.77054135, 2.48682313])"
785,,"array([0.75033361, 2.52008892])"
786,,"array([0.51438268, 2.29824224])"
787,,"array([0.18464046, 2.29024187])"
788,,"array([0.15198667, 2.28023558])"
789,,"array([0.69286034, 1.91536769])"
790,,"array([0.15492056, 2.0951197 ])"
791,,"array([0.17137314, 2.35996592])"
792,,"array([0.24184648, 2.37251502])"
793,,"array([0.20117086, 2.37995054])"
794,,"array([0.81680882, 2.11937169])"
795,,"array([0.80887067, 2.15091264])"
796,,"array([0.78152246, 2.19255636])"
797,,"array([0.15262533, 2.04990359])"
798,,"array([0.35766691, 2.32434274])"
799,,"array([0.71971816, 1.64283012])"
800,,"array([0.49856273, 1.64508535])"
801,,"array([0.54827445, 1.59805441])"
802,,"array([0.53714841, 1.64763395])"
803,,"array([0.52231381, 1.61825316])"
804,,"array([0.69550922, 2.1391185 ])"
805,,"array([0.72855806, 2.11859535])"
806,,"array([0.68967703, 1.51121404])"
807,,"array([0.02011053, 2.50516638])"
808,,"array([0.06237886, 2.51231204])"
809,,"array([0.05084256, 2.47926639])"
810,,"array([0.01384646, 2.4637141 ])"
811,,"array([0.14235361, 2.56067278])"
812,,"array([0.10401345, 2.56758666])"
813,,"array([0.12251778, 2.52985414])"
814,,"array([0.07688779, 2.54874148])"
815,,"array([0.04060309, 2.54100144])"
816,,"array([0.0954881 , 2.50682826])"
817,,"array([0.17291643, 1.54495151])"
818,,"array([0.23167345, 1.52239296])"
819,,"array([0.14818733, 1.57766296])"
820,,"array([0.13122897, 1.60602365])"
821,,"array([0.2124109 , 1.55524085])"
822,,"array([0.18403871, 1.58107022])"
823,,"array([0.1952292 , 1.51848775])"
824,,"array([-0.34646864,  3.31132347])"
825,,"array([-1.09242578,  1.78673241])"
826,,"array([0.59540507, 2.16901813])"
827,,"array([0.53512987, 2.33448982])"
828,,"array([0.19836162, 1.69847773])"
829,,"array([0.16688528, 1.70608626])"
830,,"array([0.13126325, 1.76147404])"
831,,"array([0.17791997, 1.75786161])"
832,,"array([0.39818179, 2.30546684])"
833,,"array([0.11708348, 2.38848832])"
834,,"array([0.12538787, 2.42834743])"
835,,"array([0.07344851, 2.3847079 ])"
836,,"array([0.09129997, 2.41563844])"
837,,"array([0.05971393, 2.42796644])"
838,,"array([0.13510102, 2.4603403 ])"
839,,"array([0.0383394, 2.3986522])"
840,,"array([0.09612743, 2.45067161])"
841,,"array([0.43578354, 1.67240495])"
842,,"array([0.28550226, 1.87904668])"
843,,"array([0.23916412, 1.89020563])"
844,,"array([0.23825486, 1.92163321])"
845,,"array([0.75582038, 1.73024719])"
846,,"array([0.74781907, 1.80829219])"
847,,"array([0.70325319, 1.69122653])"
848,,"array([0.72476387, 1.74481759])"
849,,"array([0.66587552, 1.73073876])"
850,,"array([0.72468641, 1.78311733])"
851,,"array([0.70211179, 1.71968043])"
852,,"array([0.69253279, 1.74943447])"
853,,"array([0.73510808, 1.70628614])"
854,,"array([0.71286469, 1.81538702])"
855,,"array([0.69502007, 1.78216646])"
856,,"array([0.27569945, 1.48803035])"
857,,"array([0.59703133, 2.21100142])"
858,,"array([0.94709336, 1.84584762])"
859,,"array([0.61937968, 1.51440421])"
860,,"array([0.92835335, 2.31227386])"
861,,"array([0.90388614, 2.34182618])"
862,,"array([0.37699804, 2.40199921])"
863,,"array([0.34416074, 2.40774134])"
864,,"array([0.25228021, 2.4404144 ])"
865,,"array([0.23028922, 2.41273171])"
866,,"array([0.27970157, 2.4246629 ])"
867,,"array([0.29560572, 2.45707101])"
