# index, _graphml_vertex_id, _pos
428,Aroa Biosurgery,"array([2.63112004, 3.00443203])"
429,Northland Regional Council,"array([2.62907037, 2.94128644])"
430,AsureQuality Ltd.,"array([2.57822977, 2.96877708])"
431,Ravensdown Fertiliser Coopererative,"array([2.63831921, 2.90453593])"
432,Animation Research Limited,"array([2.67509362, 3.18346882])"
433,Whanganui District Health Board,"array([2.60640353, 3.06883852])"
434,Pasifika Research Ltd,"array([2.74136554, 3.06715232])"
435,Oracle New Zealand,"array([2.79776838, 3.01387657])"
436,Manukau Institute of Technology,"array([2.63672395, 2.9893646 ])"
437,Whangarei District Council,"array([2.59729655, 2.88184705])"
438,Sport and Recreation New Zealand,"array([2.50046761, 3.0767376 ])"
439,New Zealand Dental Association,"array([2.72848158, 3.13185688])"
440,Waikato District Health Board,"array([2.59191566, 3.0345056 ])"
441,The Vet Centre Marlborough Ltd,"array([2.60621945, 2.86641311])"
442,AgriGenesis Biosciences Ltd,"array([2.6302877 , 2.90633341])"
443,Scion,"array([2.69665512, 2.95594186])"
444,SecuritEase International,"array([2.46584579, 3.07369774])"
445,RATO Natural Health Clinic,"array([2.76016081, 2.21076858])"
446,Investigation Geology Ltd,"array([2.79263493, 3.10712992])"
447,Fruition Horticulture,"array([2.56842435, 2.89466211])"
448,Development By Design,"array([2.7706901 , 3.00328236])"
449,Marinoto Clinic,"array([2.62169757, 3.10190206])"
450,City Fitness,"array([2.58961845, 3.01726495])"
451,Bethesda Care,"array([2.56313721, 3.13433483])"
452,Capital Eye Specialists,"array([2.56008523, 3.04804754])"
453,Comvita New Zealand Ltd.,"array([2.58848714, 2.98077191])"
454,MetOcean Solutions Ltd.,"array([2.7389607 , 3.00060106])"
455,New Zealand Climate & Health Council,"array([2.61610397, 3.13304665])"
456,Pastoral Genomics,"array([2.69231665, 2.83474498])"
457,Antarctica Scientific Limited,"array([2.72628592, 2.94635156])"
458,Alpine and Polar Processes Consultancy,"array([2.74823075, 3.01758297])"
459,James and Monroe,"array([2.55129234, 2.94106701])"
460,Forever Beech Ltd.,"array([2.80014765, 3.0895026 ])"
461,Berryworld Ltd,"array([2.56682668, 2.91367325])"
462,DairyNZ,"array([2.64280584, 2.9686792 ])"
463,Paric Limited,"array([2.50373929, 3.09138966])"
464,Fruitfed Supplies,"array([2.52935054, 2.89905647])"
465,Ancare New Zealand Ltd.,"array([2.6771214 , 3.17409111])"
466,Virtual Institute of Statistical Genetics,"array([2.72987697, 3.02095876])"
467,Ryman Healthcare,"array([3.40287019, 2.74457694])"
468,Northern Region IDEA Services,"array([2.48847185, 3.00156139])"
469,LanzaTech NZ Ltd.,"array([2.72516017, 3.02891978])"
470,Nelson Marlborough District Health Board,"array([2.62295856, 3.0428624 ])"
471,INR Online Ltd,"array([2.61166183, 3.18683161])"
472,New Zealand School Acupuncture and Traditional Chinese Medicine,"array([2.80354088, 3.03497603])"
473,Hawkins Watts,"array([2.45324806, 3.03169715])"
474,Waimakariri District Council,"array([2.70520218, 2.9749767 ])"
475,St Cuthbert's College,"array([2.44617621, 3.02388033])"
476,Kinetic Engineering Design,"array([2.46253684, 3.1321529 ])"
477,New Zealand Needle Exchange Programme,"array([2.61316411, 3.06752906])"
478,Urological Society of Australia and New Zealand,"array([2.55868974, 3.18235851])"
479,Tai Wananga Learning Centre,"array([2.79522832, 2.97511769])"
480,Geotech Consulting Ltd,"array([2.71897759, 2.99066724])"
481,Unitec,"array([2.64235854, 2.98369277])"
482,Canterbury District Health Board,"array([2.65381694, 3.05441661])"
483,Presbyterian Church of New Zealand,"array([2.53099419, 3.09755024])"
484,Heart Foundation of New Zealand,"array([2.60717099, 3.1290703 ])"
485,Hauraki Maori Trust Board,"array([2.7081804 , 3.00244203])"
486,Health Promotion Agency,"array([2.64158054, 3.06248181])"
487,TracPlus Global Ltd,"array([2.75512963, 3.1437626 ])"
488,Roche Diagnostics New Zealand Ltd,"array([2.60291616, 2.92962348])"
489,ESR,"array([2.62861862, 3.01641833])"
490,Cymbiotix Group Limited,"array([2.51233667, 3.00488457])"
491,Local Government New Zealand,"array([2.65569597, 2.96375521])"
492,Ballance Agri-Nutrients Limited,"array([2.65167316, 2.94033045])"
493,Law Commission,"array([2.79471894, 3.02634365])"
494,Tala Pasifika,"array([2.62315662, 3.09496311])"
495,Hiway Geotechnical,"array([2.46520274, 3.05617123])"
496,Vestec Capital Limited,"array([2.55846216, 2.8423234 ])"
497,Clinical Systems,"array([2.58426451, 3.16721043])"
498,OTRS Group Ltd,"array([2.68989132, 3.0908027 ])"
499,Outome Management Services,"array([2.51032563, 3.13429808])"
500,Transport Engineering Research NZ Ltd.,"array([2.72770425, 2.95663605])"
501,Unison Networks Limited,"array([2.81962547, 3.06850388])"
502,Quintern Innovation Ltd,"array([2.74544687, 3.21826841])"
503,Wellington Zoo,"array([2.68145617, 2.95522462])"
504,Ascot Angiography,"array([2.58293546, 3.08081344])"
505,Eastern Region Fish and Game,"array([2.72161256, 2.93617322])"
506,NZ Oil and Gas,"array([2.75629134, 2.99269175])"
507,Soil and Land Evaluation Ltd,"array([2.71598134, 2.88311888])"
508,Auckland Dermatology,"array([2.4982476 , 2.99320104])"
509,New Zealand Institute of Medical Laboratory Science,"array([2.63798142, 3.13810436])"
510,Waiariki Institute of Technology,"array([2.67091414, 2.98371942])"
511,Bay of Plenty Regional Council,"array([2.68040379, 2.9396535 ])"
512,The Challenge of Change,"array([2.79374766, 3.04367357])"
513,O'Kane Consultants (NZ) Ltd,"array([2.58241158, 2.98622598])"
514,Adis International Ltd.,"array([2.55680333, 3.15531191])"
515,Southern Rangitikei Veterinary Services,"array([2.62538268, 2.89846841])"
516,Streamliners Ltd,"array([2.73612904, 3.11610942])"
517,New Zealand Warriors Rugby League Club,"array([2.49617174, 2.98042964])"
518,University of Canterbury,"array([2.70138831, 3.04292854])"
519,Nufarm,"array([2.66361034, 2.83817858])"
520,Tasman District Council,"array([2.67644813, 2.94909073])"
521,Babbage Consulting Ltd.,"array([2.59430615, 2.97406929])"
522,St Paul's College,"array([2.47583709, 3.07343608])"
523,Hanmer Clinic Tauranga,"array([2.70898183, 3.15105545])"
524,Linnaeus Laboratory,"array([2.56010368, 3.14398304])"
525,Otago Daily Times Collective,"array([2.68679417, 3.17140924])"
526,Johne's Management Limited,"array([2.64897835, 2.89222286])"
527,Batten Animal Research Network,"array([2.60465365, 3.03665909])"
528,Highlanders Rugby,"array([2.196388  , 3.71491357])"
529,KiwiRail,"array([2.77260759, 3.14058392])"
530,Assistive Technology Ltd.,"array([2.58185576, 2.82091642])"
531,Braemar Hospital,"array([2.67318081, 3.12578323])"
532,Power Projects Limited,"array([2.74931922, 2.97526681])"
533,Pharmaceuticol Ltd,"array([2.63056187, 3.13065275])"
534,New Zealand Aerial Mapping,"array([2.71230281, 3.01726494])"
535,Comtel System Ltd.,"array([2.63867572, 2.85592843])"
536,Auckland Eye,"array([2.55028357, 3.05457564])"
537,Innov8 Group Ltd.,"array([2.52119213, 2.9527965 ])"
538,Geomarine Research,"array([2.64636107, 3.00230875])"
539,Ngati Kapo O Aotearoa,"array([2.6166253 , 2.89384025])"
540,Orion Healthcare Ltd.,"array([2.56435056, 3.16152764])"
541,Ministry of Social Development,"array([2.65563505, 3.04891839])"
542,Southern Photonics Ltd,"array([2.64742147, 3.04817345])"
543,Pasifika Medical Association,"array([2.56842552, 3.0659898 ])"
544,Injury Prevention Aotearoa,"array([2.54462156, 3.04033688])"
545,High Performance Sport NZ,"array([2.48771549, 2.98624224])"
546,Dyspraxia Support Group of New Zealand,"array([2.68983889, 3.11551811])"
547,Keratec Ltd.,"array([2.70861286, 2.98668973])"
548,Molehill Astronomical Observatory,"array([2.62221781, 3.0061565 ])"
549,Applied Engineering Research Ltd.,"array([2.77443876, 2.87037287])"
550,Fish and Game NZ,"array([2.67020406, 2.91715077])"
551,SUSH Global Solutions,"array([2.57856607, 2.84071524])"
552,Deloitte,"array([2.63239458, 3.0296675 ])"
553,Rockwell Automation,"array([2.49376289, 3.15329164])"
554,Southern Cochlear Implant Programme,"array([2.70157047, 3.10471951])"
555,P. A. and S. C. Steens Limited,"array([2.80835725, 2.9656272 ])"
556,Canterbury Charity Hospital Trust,"array([2.728236  , 3.11028723])"
557,Parker Associates,"array([2.48727108, 2.93708497])"
558,Te Whare Wananga o Awanuiarangi,"array([2.62855437, 2.96761449])"
559,Commtest Instruments Ltd,"array([2.76560557, 3.11226809])"
560,Moorhouse Medical Clinic,"array([2.55201883, 3.04501447])"
561,Conservation and Environmental Management,"array([2.7020192 , 2.93412341])"
562,Numcore Ltd.,"array([2.45774854, 3.02244338])"
563,Weta Digital,"array([2.63657312, 3.07660038])"
564,Promisia Ltd,"array([2.68437707, 3.10045609])"
565,Quin Environmentals(NZ) Ltd.,"array([2.6895891 , 2.95196943])"
566,New Zealand Centre for SME Research,"array([2.59983251, 2.82943356])"
567,Lindis Consulting,"array([2.63501804, 2.92280461])"
568,Hauora Heretaunga,"array([2.47923353, 3.04815307])"
569,Southern Community Laboratories Ltd,"array([2.63381729, 3.08400057])"
570,New Zealand Refining Co. Ltd.,"array([2.7830352 , 3.10536349])"
571,Jacobs Engineering,"array([2.58256261, 3.15695357])"
572,Morrison Consultants Ltd,"array([2.66163328, 2.91611085])"
573,Wilson Environmental Services,"array([2.65250613, 3.16587727])"
574,Cyperus Ltd,"array([2.64726307, 3.1022247 ])"
575,State Services Commission,"array([2.7853721 , 2.99874829])"
576,The National Health Board,"array([2.49868152, 3.01450787])"
577,New Zealand Guidelines Group,"array([2.655856  , 3.06267656])"
578,McLaren Research Ltd.,"array([2.50624721, 2.8667258 ])"
579,Atlantis HealthCare,"array([2.50057726, 3.0321075 ])"
580,Clinical Horizons,"array([2.67162951, 3.10777852])"
581,Bay of Plenty Polytechnic,"array([2.64109461, 2.97672157])"
582,Cognosco,"array([2.61945097, 2.93890951])"
583,Drummond Food Science Advisory Ltd.,"array([2.71748069, 3.17581876])"
584,Touch Water Ltd.,"array([2.75264379, 3.00948244])"
585,BLIS Technologies Ltd.,"array([2.69347451, 2.98760267])"
586,Heinz Wattie's,"array([2.55619968, 2.91018916])"
587,Te Papa Tongarewa,"array([2.66593925, 2.98902819])"
588,Renewable Energy,"array([2.77982909, 2.89129544])"
589,CURT St George's Medical Centre,"array([2.60059933, 3.10466669])"
590,Papatoetoe Accident and Medical Centre Ltd,"array([2.54907251, 3.21028606])"
591,Vibration Technology International (VTI),"array([2.51660799, 3.14242095])"
592,Biopolymer Network Ltd,"array([2.61265477, 3.04065566])"
593,Southern Obesity Surgery,"array([2.71066742, 3.1025526 ])"
594,Royal Australasian College of Surgeons,"array([2.5790894 , 3.14843991])"
595,Cardiac Inherited Disease Group,"array([2.5435193 , 3.11944367])"
596,Eastern Institute of Technology,"array([2.60206546, 2.99585184])"
597,Westlake Boys High School,"array([2.51342606, 3.17434196])"
598,National Maori Health Workforce Organisation,"array([2.7385391 , 3.12772432])"
599,Life Technologies Ltd.,"array([2.82375011, 3.05854695])"
600,Pacific Edge Biotechnology Ltd.,"array([2.58838936, 3.07357182])"
601,Australian and New Zealand College of Anaesthetists,"array([2.53487983, 3.10629012])"
602,Otakaro Pathways Ltd,"array([2.60764213, 2.970901  ])"
603,Ascot Women's Cancer Centre of New Zealand,"array([2.56333464, 3.21418645])"
604,Koru Environmental Consultants Ltd,"array([2.70638575, 2.91746592])"
605,New Zealand Medical Students' Association,"array([2.61218599, 3.14532938])"
606,Ensys Ltd,"array([2.78757484, 3.11562437])"
607,Dorothy-Jean and Associates,"array([2.55297616, 2.95862352])"
608,Katoa Ltd,"array([2.67528837, 3.06343251])"
609,Accident Compensation Corporation,"array([2.61882969, 3.03876597])"
610,Lassey Research and Education Ltd,"array([2.73051578, 2.88957286])"
611,StratEDGY,"array([2.73453664, 2.96363754])"
612,Oralis Limited,"array([2.5412512 , 2.83818215])"
613,Watersafe Auckland Inc.,"array([2.4842896 , 3.07384276])"
614,Odyssey House,"array([2.48129532, 3.00955485])"
615,Toi Tangata,"array([2.63712053, 3.14915988])"
616,New Zealand China Friendship Society and Chinz Co,"array([2.59363294, 2.85000749])"
617,ChangeMakers Refugee Forum,"array([3.08011627, 3.70564305])"
618,Etec Crop Solutions,"array([2.50240526, 2.89089017])"
619,Pegasus Health Ltd,"array([2.66233122, 3.08841881])"
620,New Zealand Spinal Trust,"array([2.68457749, 3.12505185])"
621,Novare Design Ltd.,"array([2.81464202, 3.02962482])"
622,Shore Vets,"array([2.63044863, 2.82454876])"
623,Waikato Regional Council,"array([2.66461768, 2.97239874])"
624,Parsons Brinckerhoff,"array([2.49786053, 3.14465203])"
625,Hagley Community College,"array([2.79957468, 3.06354544])"
626,Proteus Wildlife Research Consultants,"array([2.70158962, 2.99362937])"
627,ARANZ Geo Ltd,"array([2.77666197, 2.97279411])"
628,PetVet Animal Lower Hutt,"array([2.53610113, 2.93092932])"
629,Waikato Neurology Group,"array([2.55943476, 3.0729044 ])"
630,Centre for Minerals Environmental Research (CMER),"array([2.74182638, 3.10964607])"
631,The Forensic Group Limited,"array([2.72403292, 2.96575324])"
632,Power Systems Consultants New Zealand Ltd,"array([2.63572087, 3.20573365])"
633,New Zealand Defence Force,"array([2.62622736, 3.03645757])"
634,Christchurch Polytechnic Institute of Technology,"array([2.66966898, 3.01958578])"
635,Elmwood Orthopaedics,"array([2.73249017, 3.06693676])"
636,Colgate-Palmolive Ltd,"array([2.78109998, 3.09580589])"
637,Breen Consulting,"array([2.6881324 , 2.92247778])"
638,Wairarapa District Health Board,"array([2.55518062, 2.86449224])"
639,The Good Life Research Centre Trust,"array([2.69584512, 3.02849361])"
640,Veterinary Specialist Group,"array([2.64518479, 2.90866329])"
641,Smokechange Limited,"array([2.73070313, 3.08321384])"
642,Gisborne District Council,"array([2.77189816, 2.98274128])"
643,Cosgrove,"array([2.81180486, 3.06096356])"
644,BCRL Energy Limited,"array([2.82465424, 3.1024632 ])"
645,Orthopaedic Services,"array([2.59082379, 3.17611329])"
646,New Zealand King Salmon,"array([2.69966368, 2.8694365 ])"
647,Hawke's Bay Alcohol and Drug Service,"array([2.62457475, 3.10902812])"
648,Future Forests Research,"array([2.77242369, 2.88271491])"
649,New Zealand Council for Educational Research (NZCER),"array([2.69782263, 2.97660207])"
650,WaikatoLink Ltd.,"array([2.7862566, 2.9085248])"
651,Collins Carriers Ltd.,"array([2.65482053, 2.85967394])"
652,PowerbyProxi Ltd.,"array([2.46739982, 3.00109802])"
653,AquaBio Consultants Ltd.,"array([2.68615043, 2.88359614])"
654,Fulton Hogan Ltd.,"array([2.67002568, 3.05096483])"
655,Herbert Morton Accountants,"array([2.76701316, 2.90111455])"
656,Shona Wilson Consultancy Co. Ltd,"array([2.47327288, 3.13198792])"
657,Massey University,"array([2.60938654, 2.94488663])"
658,Pest-Tech,"array([2.63361753, 2.93341018])"
659,New Zealand College of Midwives,"array([2.65286159, 3.03670207])"
660,Infrastructure Decisions Limited,"array([2.70392743, 2.96467007])"
661,Hyland Fatigue Earthquake Engineering,"array([2.69192674, 3.03773288])"
662,Organ Donation New Zealand,"array([2.53614036, 3.04098112])"
663,Saint Helena National Trust,"array([2.75367738, 3.15581258])"
664,Plant Diagnostics Limited,"array([2.64135861, 2.80238793])"
665,Supplejack Ltd,"array([2.57115454, 3.19395679])"
666,New Zealand Society for Earthquake Engineering (NZSEE),"array([1.80975784, 3.10922367])"
667,Hospice Waikato,"array([2.51780984, 3.01894343])"
668,Automation Design Ltd,"array([2.71266061, 2.87194138])"
669,Bay of Plenty Rugby Union,"array([2.47009304, 2.95254794])"
670,Riverside Veterinary Services,"array([2.47569212, 2.92165244])"
671,David Butler Associates Ltd,"array([2.63949587, 2.84476826])"
672,Growth Solutionz,"array([2.03633488, 3.58352315])"
673,Digital Sensing Limited,"array([2.62749614, 3.06411421])"
674,Gribbles Veterinary,"array([2.56168442, 2.95543892])"
675,Hally Labels,"array([2.78080844, 2.99021337])"
676,Clement and Associates Ltd,"array([2.7121594 , 2.92511776])"
677,Opus Research,"array([2.64158037, 3.16222749])"
678,New Zealand Rheumatology Association,"array([2.58215864, 3.10077289])"
679,Glenview Medical Centre,"array([2.52608121, 3.04221987])"
680,Compac Technologies,"array([2.56205618, 2.85943726])"
681,Claro,"array([2.48399751, 3.13229672])"
682,Stuart Mitchell Consulting,"array([2.47355996, 3.05666618])"
683,Pacific Orthopaedics,"array([2.53266503, 2.8444856 ])"
684,Whelan and Associates,"array([2.60341674, 2.91861925])"
685,Connectos Consulting,"array([2.51771338, 3.02787676])"
686,Medical Protection Society,"array([2.45073442, 2.99858544])"
687,Terrageologica,"array([2.71909824, 3.02444536])"
688,Invenco Group Ltd.,"array([2.51976897, 3.1674487 ])"
689,Canterbury Earthquake Recovery Authority,"array([2.69754545, 2.96808603])"
690,NextWindow Ltd,"array([2.62427698, 3.13590815])"
691,Possum Observatory,"array([2.62313779, 3.01366986])"
692,Ichthyo-niche,"array([2.70206753, 3.03578087])"
693,Statistical Research Associates Ltd,"array([2.64321712, 2.93405555])"
694,Spinal Cord Injury Network,"array([2.60027201, 3.12385633])"
695,Simplar Limited,"array([2.59339939, 2.9238351 ])"
696,PF Olsen and Company Ltd,"array([2.74067394, 2.93525652])"
697,Gambling Helpline,"array([2.54827554, 2.9333941 ])"
698,PGG Wrightson Seeds Ltd.,"array([2.640558  , 2.87483086])"
699,Environment Canterbury,"array([2.65637192, 2.97464575])"
700,Shekinah Berries Limited,"array([2.49462131, 2.88496109])"
701,Reid Construction Systems Ltd,"array([2.65848033, 3.08306622])"
702,Syft Technologies Ltd,"array([2.67691503, 3.07229042])"
703,Rehab Physio Centre,"array([2.57020742, 2.82298612])"
704,New Zealand Rugby Union,"array([2.65636074, 3.12092555])"
705,Transpower New Zealand Ltd.,"array([2.63681823, 3.09082379])"
706,Zink Research,"array([2.71745356, 3.16573454])"
707,Ecosynergy Group Ltd (EGL),"array([2.77478955, 3.05949326])"
708,Holcim (NZ),"array([3.101582  , 2.34817384])"
709,Action on Smoking and Health New Zealand,"array([2.51884624, 3.11819848])"
710,Enviro-Mark Solutions Ltd.,"array([2.7740731, 3.0781453])"
711,Hawke's Bay District Health Board,"array([2.60158639, 3.04605334])"
712,Donaghys Industries,"array([2.51190323, 2.88536406])"
713,Hurricanes Rugby,"array([2.53187199, 2.94337006])"
714,Chiptech Ltd,"array([2.71775947, 3.15590295])"
715,Brian Ricketts Geological Consulting Limited,"array([2.74503865, 2.98386645])"
716,Educational Leadership Project,"array([2.80208118, 2.92439852])"
717,Aspiring Veterinary Service Ltd,"array([2.59890628, 2.87165477])"
718,VSN (NZ) Ltd.,"array([2.70435127, 2.87949782])"
719,Your Nutrition,"array([2.46025076, 3.00798925])"
720,Jowett Consulting Ltd.,"array([2.69637142, 2.93931683])"
721,Boulcott Hospital,"array([2.51100535, 3.03655273])"
722,OceanWaveS Pacific Ltd.,"array([2.74830831, 2.91041108])"
723,Tu-hoe Tuawhenua Trust,"array([2.7312624 , 2.87139078])"
724,Greater Wellington Regional Council,"array([2.66976041, 2.96627071])"
725,Waitemata Primary Health Organisation,"array([2.57879762, 3.17630271])"
726,Geoventures Limited,"array([2.72691282, 3.18210873])"
727,Medical Council of New Zealand (MCNZ),"array([2.53201822, 2.95363925])"
728,John Jones Steel,"array([2.64720538, 3.1124072 ])"
729,Auckland Southern Cross Hospital Group,"array([2.55523532, 3.13437543])"
730,Langimalie Clinic,"array([2.60726086, 3.15289038])"
731,St John Ambulance,"array([2.60150342, 3.05976686])"
732,IZON Science Ltd.,"array([2.66119648, 3.05529044])"
733,GNS Science,"array([2.70129491, 2.9846605 ])"
734,Needle Exchange Programme NZ,"array([2.601586  , 3.13508873])"
735,New Zealand Underwater Heritage Group,"array([2.78003364, 2.92782626])"
736,New Zealand Parliament,"array([2.78211622, 3.02473993])"
737,Coastal and Aquatic Systems Ltd,"array([2.61427131, 2.96950866])"
738,Wingspan Birds of Prey Trust,"array([2.61427764, 2.86207072])"
739,Kaipaki Veterinary Services,"array([2.58133602, 2.83058907])"
740,Labplus,"array([2.55346295, 3.03442045])"
741,Boffa Miskell Ltd,"array([2.63541374, 2.98048973])"
742,International Pacific College,"array([2.53850331, 2.86116855])"
743,Ropata Village Medical Centre,"array([2.59632317, 3.0702713 ])"
744,Westland High School,"array([2.73463301, 3.04592376])"
745,Scott Technology Limited,"array([2.69780943, 3.09674728])"
746,Auckland Regional Council,"array([2.45629579, 3.12450123])"
747,Wakefield Specialist Medical Centre,"array([2.56469334, 2.86797474])"
748,Isolytix,"array([2.69047738, 3.15163642])"
749,JMR Distributors Ltd,"array([2.5905837 , 2.83068989])"
750,Mental Health Education Resource Centre,"array([2.77286688, 3.1064005 ])"
751,Helios Integrative Medical Centre,"array([2.78113302, 2.21420375])"
752,Fertility Associates,"array([2.62258114, 3.06909459])"
753,Health Outcomes Associates Ltd.,"array([2.46454653, 3.09650676])"
754,Rivuli Development,"array([2.77254229, 2.92285288])"
755,Whitireia New Zealand,"array([2.60577376, 3.01068976])"
756,Workwise Employment Ltd.,"array([1.92140524, 3.42825924])"
757,ABI Rehabilitation New Zealand Ltd.,"array([2.50756619, 2.99493876])"
758,Manawatu Diagnostics,"array([2.60740203, 2.85463658])"
759,New Zealand Trade and Enterprise,"array([2.63013668, 2.91535517])"
760,Dr. Malcolm McKellar Ltd.,"array([2.63184841, 3.17311146])"
761,Women's Health Action,"array([2.65532969, 2.89978639])"
762,Sport New Zealand,"array([2.66277795, 3.11486637])"
763,Tetcor,"array([2.493429  , 3.07205169])"
764,Kono Horticulture Limited,"array([2.58792231, 3.01038535])"
765,Risk Strategies Research and Consulting,"array([2.76190575, 3.04003276])"
766,Taste Technologies Ltd.,"array([2.53928204, 2.89383156])"
767,Aviation Industry Association of New Zealand Inc,"array([2.33675857, 3.78493819])"
768,Riccarton Rotary,"array([3.3689965 , 3.37403987])"
769,Dnature diagnostics and research Ltd.,"array([2.59779431, 3.01097818])"
770,Te Rito Maioha Early Childhood New Zealand,"array([2.68504002, 2.97918631])"
771,Aeroqual Ltd.,"array([2.6499281 , 3.02972657])"
772,Beta Solutions,"array([2.53806517, 2.99101733])"
773,Hamilton Veterinary Services,"array([2.5458664 , 2.87598418])"
774,Watercare Laboratory Services,"array([2.49693144, 3.04918019])"
775,Power Co Ltd.,"array([2.52088845, 3.13472328])"
776,Dovedale Ltd.,"array([2.58197163, 3.01896375])"
777,Te Punaha Matatini,"array([2.57090322, 3.00555581])"
778,Irrigation New Zealand Inc.,"array([2.60044732, 2.90848543])"
779,CentralMed,"array([2.65154029, 3.07128897])"
780,MercyAscot Hospitals,"array([2.58677342, 3.05185863])"
781,Broadway Surgical Clinic,"array([2.57472507, 3.13051421])"
782,Frontier Global Ltd.,"array([2.48016109, 3.11563531])"
783,McConnell Dowell Constructors Ltd.,"array([2.67615748, 3.14798931])"
784,Scott Associates Limited,"array([2.60971638, 2.82853375])"
785,Western Heights High School,"array([2.67551879, 2.90995929])"
786,Te Runanga o Ngai Tahu,"array([2.68396619, 2.9133256 ])"
787,Horowhenua Library Trust,"array([3.44095961, 3.13969315])"
788,Innate therapeutics,"array([2.63930847, 2.95160073])"
789,South Seas Healthcare Trust,"array([2.59343673, 3.1161535 ])"
790,Oncology Surgery Ltd.,"array([2.5600314 , 3.09299996])"
791,Cahill Animal Hospital,"array([2.57271173, 2.88546792])"
792,Unisports Sports Medicine,"array([2.44482431, 2.96471854])"
793,Maramatanga Consultants Ltd,"array([2.5430169, 2.8849663])"
794,Rolleston Medical Centre,"array([2.70924194, 3.13156323])"
795,Neil Fitzgerald Photography,"array([2.71149448, 2.90024578])"
796,YouniqueCreative,"array([2.65816489, 3.19345038])"
797,Breast Surgeons' Society of New Zealand,"array([2.47548899, 3.12378634])"
798,Geoenvironmetal Services,"array([2.56986654, 2.93379781])"
799,Whitecliffe College of Art and Design,"array([2.54194459, 2.94274089])"
800,Holmes Fire and Safety,"array([2.6628774 , 3.09917556])"
801,Eco Nomos Ltd.,"array([2.69641143, 2.89037968])"
802,SIRTRACK Limited,"array([2.45913958, 3.08014458])"
803,Psychological Service,"array([2.46775025, 3.14124306])"
804,Precision Irrigation Lindsay International (ANZ) Pty Ltd.,"array([2.65322786, 2.88395755])"
805,Rumenz Ltd,"array([2.57184256, 2.99851827])"
806,Selwyn Centre for Ageing and Spirituality,"array([2.58525649, 3.11608352])"
807,Fabrum Solutions,"array([2.76273185, 2.96448794])"
808,Avocado Industry Council,"array([2.50966418, 2.85603993])"
809,EnForm Tech,"array([2.71166013, 2.93484638])"
810,Te Awakairangi Health Network,"array([2.67222264, 3.15987778])"
811,Wildland Consultants Ltd.,"array([2.64811012, 2.9782849 ])"
812,Akoranga Integrated Health Clinic,"array([2.46688136, 2.98500674])"
813,Centre for Youth Health in South Auckland,"array([2.52695016, 3.06955513])"
814,Waikato-Tainui College for Research and Development,"array([2.66952125, 3.06831932])"
815,Entecol Ltd.,"array([2.61660168, 2.97732657])"
816,Maori Hill Clinic,"array([2.75826328, 3.13313075])"
817,Advanced Clinical Skills Centre,"array([2.53180649, 3.1149142 ])"
818,Xcluder Fencing,"array([2.67133593, 2.82937387])"
819,New Zealand Stock Exchange,"array([2.52413398, 3.83261848])"
820,Imery's Tableware NZ Ltd,"array([2.81556823, 2.97491454])"
821,Napier Health Centre,"array([2.61513623, 2.81866464])"
822,New Zealand College of Chiropractic,"array([2.52103521, 3.0063086 ])"
823,Hemptech,"array([2.795844  , 2.91530758])"
824,Farmax Ltd.,"array([2.67620902, 2.88449194])"
825,Interactionz,"array([2.79926034, 2.93459511])"
826,New Zealand Seafood Industry Council Ltd,"array([2.66604037, 2.93344904])"
827,Hill Laboratories Ltd.,"array([2.65079395, 3.01696771])"
828,Sacred Heart College,"array([2.63950456, 2.89007727])"
829,Pohatu Penguins,"array([2.69490708, 2.91767638])"
830,AECS Ltd.,"array([2.77563732, 2.93584185])"
831,Bayer CropScience New Zealand,"array([2.56040692, 2.94695494])"
832,Tegel Foods Ltd.,"array([2.50915672, 2.94604582])"
833,Auckland Museum,"array([2.65756926, 2.98552649])"
834,Zinniatech Ltd.,"array([2.50088623, 3.04094154])"
835,Sustainability Society,"array([2.57822725, 3.13806485])"
836,New Zealand Centre for Conservation Medicine (NZCCM),"array([2.62687849, 3.00001382])"
837,Sydenham Dental Centre,"array([2.65736099, 3.15396427])"
838,Healthscope Laboratories,"array([2.6174207 , 3.17215281])"
839,ENZO Nutraceuticals Limited,"array([2.68245418, 3.06688276])"
840,Health Quality and Safety Commission,"array([2.61266664, 3.08423302])"
841,Synergine,"array([2.73921875, 3.02065209])"
842,Alfriston College,"array([2.79382269, 2.94342867])"
843,Ian Kusabs and Associates Limited,"array([2.73582098, 2.94337175])"
844,Russell Vickery Associates,"array([2.53310942, 3.01701477])"
845,ZyGEM Corporation Ltd.,"array([2.63922623, 3.01200677])"
846,Saville Statistical Consulting Ltd,"array([2.67212968, 2.95414576])"
847,Zenith Technology Ltd.,"array([2.62939298, 3.1138216 ])"
848,Wiri Timber,"array([2.66186087, 3.16329619])"
849,Fred Hollows Foundation,"array([2.58425052, 3.09069964])"
850,Inform Planning Ltd,"array([2.59065033, 2.9879881 ])"
851,Google,"array([2.78238267, 3.04062734])"
852,Leinster Orthopaedic Centre,"array([2.62502207, 3.1934554 ])"
853,Pacific Island Food and Nutrition Action Group,"array([2.48021488, 2.9555416 ])"
854,DHI Water and Environment,"array([2.82247324, 2.96588043])"
855,Allan Planning and Research Ltd.,"array([2.73930666, 2.907787  ])"
856,Aotea Pathology Ltd.,"array([2.60789477, 3.04459079])"
857,Body Aid Clinic Ltd,"array([2.70155805, 3.16404864])"
858,VetSouth Ltd,"array([2.54705533, 2.91182587])"
