# source, target, tip_text
89,2721,best spot for reading a book and grabbing a sandwich on a sunday afternoon.
89,2723,Grab a bunch of your friends and meet up here for some serious pizza and the best selection of local beers!
89,2785,"The carnitas that is roasted on the spit, are you kiddin me?! That and the mexican corn, crackalicious. And you can wash it down with a negra modelo. Done."
89,2785,"My personal favorite is the pork taco, and the meat is actually roasted on the spit. The mexican corn here is damn good too. Can't eat mexican food without a mexican beer as well!"
89,2788,One of the best places in manhattan for 5 dollar eats! Plenty of things to choose from.
89,2813,A convenient location for a quick pick me up.
89,2895,"Get the sphagetti, period. You will not regret it."
89,2948,"great late night eats, a lot of chefs and cooks hit this place up after work."
89,3081,The hot chocolate here is so good! Try the almond croissants as well :)
89,3274,order the Bucatini. heaven.
89,3438,"Had my birthday dinner here, and I was blown away. Impeccable service. Truffled langostine risotto, hello lover!"
89,3486,"great portuguese food, great ambiance. The desserts are awesome as well!."
89,3492,"Stop by for any of their margaritas, and amazing brunch!"
89,3494,This place rocks! I always head here after coming off a cleanse. Its a great way to ease back in. The soups are awesome.
89,3514,"Brussels sprouts and shrimp\/grits. Delish! Def going back soon!"
89,3659,the best breakfast deal in Chelsea!
89,3689,"what is so great about this bistro is that it is underappreciated, while at the same time delivering satisfying vegan cuisine along with an interesting organic\/biodynamic wine list."
89,3732,"2 michelin stars, fine dining redefined!"
89,3860,a hip spot in West Chelsea for amazingly affordable indian street food and delicious cocktails!
89,3892,"best chocolate egg cream I've had in New York. Also, order the sundae with caramel and pretzels, damn its huge but good!"
89,4169,"chicken and waffles, a magical marriage and god knows who came up with it. But thank you whoever you are!"
89,4394,My partner in crime Stephanie says the red velvet cake and the ribs are bangin here. I am obliged to agree!
89,4396,Love the bison burger with a side of sweet potato. You can also order for delivery from their website!
89,4449,"Definitely worth it if you are out and about late night and looking for a place to eat and drink. Love the skewers, the noodles, ramen, and bangin selection of sake."
89,4710,"Really warm and friendly cafe. Doggie treats at the front door for pet owners, and if Young is working you will be all set!"
89,4755,Order the grilled bread with the burrata. Really enjoyed the selection of Salumi as well. The open faced egg sandwich was delicious as well!
89,4983,"The spicy scallop roll here is amazing. Also, the fact that its open late night is key."
89,5041,"Tip: the Fuji apple kimchi is innovative, simple and delish. Love the flavored going on in this dish."
89,5041,"David Chang's temple of meat, and I always wash it down with a Korean Beer."
89,5118,Gonna have to second the tofu scramble...really tasty! Another awesome destination for healthy eats in Harlem.
89,5121,stop by for some delicious baked goods. Very cute space!
89,5195,"comfort food with a hint of refinement. With all the nightlife in the area, this is place to hit up the morning after :)"
89,5269,a must for bone marrow late night!!
89,5273,"I miss having a place like this in the neighborhood! For all of you health nuts, pay a visit ASAP!"
89,5357,always coming here for the bison burgers. delicious. Also awesome breakfast burritos.
89,5371,"The Roman Trattoria of the moment. Danny Meyer never ceases to amaze with stellar food and the best service standard in New York City. Peppered chicken on Arugula. So simple, so good."
89,5484,"If you are looking for a splurge night in Harlem, come here. Great menu, great spot for a date."
89,5726,"Try the eel and foie gras terrine, and the tempura fried poached egg with three kinds of caviar. Also, the amadai is worthy of a mention as well!"
89,6113,"Great view when dining on the patio, the pasta selections are excellent and the food is well executed"
91,92,"momos? did someone say momo? the barley ice cream is oh so tasty as well. did i mention the tibetan dumplings? why yes, i will have the momos. extra hot sawce please."
91,414,"lobster roll is good, for the price my vote is for luke's in e vill.. fish is worth your time & $$"
91,577,"Great spot to bring visitors from Pacific NW, kinda hectic & snobby for a brew house pub."
91,1220,desipte all the hype a tasty place! try the elvis.. everything tastes better with bacon. everything.
91,1539,sweet dumplings are ono! check out the live cam behind the cooks.. go to their website to control it!
91,1785,lovely veggie & vegan grinds. cute boys too. free wifi
91,2246,was one of the first biz in area to leverage check-in specials.. yummy
91,2543,iced liquid chocolate anytime of year is warrented
91,2604,thankgiving turkey burger is amazing.
91,2638,cute up and coming spot.. pizza boys could use a lesson or two about how to regulate the temp of the DIY wood oven. despite the technical learning curve very tasty and worth the desperate hipsters
91,2754,best to bring ear plugs & lots of time.
91,2754,despite the part time day staff's insisting to blare their music too loud and the bitter yet watery espresso good classic coffee shop. wifi.
91,2782,if u get chopt delivered get the dressing on the side... they will drown your greens otherwise!
91,2980,only place ill get a machiato.
91,3071,best public restroom for blocks
91,3129,small with die hard regulars. ignore the hip sneers and check out bench out front.
91,3193,ignore the rumors about 2.5 food poisonings.. food is simple straight forward and tasty. restrictive hours.
91,3510,tasty delivery.. canoli's are worth the $15 min delivery..
91,3614,Get the plate & bring a friend to keep ya company in line.
91,3614,Get the Chicken & Rice plate. Great deal but make sure to get extra hot sauce!
91,3832,amazing old school sandwhich counter. love the brunch! strange hours call ahead to confirm they're open
91,3838,Peanut Butter shakes & Great dipping sauces for those fries.
91,3984,Support LGBTQ causes by getting good licks. Yumm.
91,4084,best juices of all the papya places
91,4090,great turkey burger special! 24 hours & they deliver!
91,4203,avoid the desserts on mondays. decent veggie burger and fried. delivery!
91,4285,coldest red bull in billyburgwick!
91,5028,"good burgers, cheap, quick & yummy."
91,5751,Milkshakes & fries a must.
93,94,Try the Creme Brulee - #sweet #nom (via @Foodspotting)
93,393,Brunch on Sundays even with reservations r still crowded. Wait until 2pm or so when it's calmer
93,537,Try the Truffle Potato Chips - #melty #cheesy goodness (via @Foodspotting)
93,537,Try the Tricolor Lobster Salad (via @Foodspotting)
93,1240,Try the Espresso Brownie - With #caramel #icecream (via @Foodspotting)
93,1303,Try the Warm Apple Cake with Walnuts And Toffee Ice Cream - With toffee ice cream (via @Foodspotting)
93,1303,Try the Parpadelle With Duck (via @Foodspotting)
93,1601,Try the Baby Back Ribs - Drool on this @ashley4emergy and no they don't ship well. Haha (via @Foodspotting)
93,2130,Try the Chocolate Chai - Awesome concoction and apparatus. (via @Foodspotting)
93,2191,Try the French Toast Brioche - With fresh strawberries and almonds! (via @Foodspotting)
93,2197,Try the Onion Rings (via @Foodspotting)
93,2229,Try the Yubowl - #healthy #tofu #greens #brownrice (via @Foodspotting)
93,2338,Try the Chicken Pepperoni Parmagian - Possibly one of the best combos ever!! (via @Foodspotting)
93,3093,Try the Assorted Macaroons (via @Foodspotting)
93,3492,Try the Flan de Coco - #sweet (via @Foodspotting)
93,3622,Try the Peruvian Combo - Ohmm Yumm (via @Foodspotting)
93,3917,Try the Oven Roasted Garlic Fries (via @Foodspotting)
93,3917,Try the Creme Burlee French Toast - #sweet #divine (via @Foodspotting)
93,3931,Try the Ham And Swiss Croissant (via @Foodspotting)
93,3962,Try the Eel Over Rice (via @Foodspotting)
93,4093,"If u can stave off ur hunger, come after 2pm for $2 slices!"
93,4190,Try the Yellow Dragon Roll (via @Foodspotting)
93,4289,Try the Black Forest Roll And Soft Shell Crab Roll - #crunchy #eel (via @Foodspotting)
93,4368,Try the Hot Chocolate (via @Foodspotting)
93,4999,Try the Lobster Mac And Cheese - Drool worthy (via @Foodspotting)
93,5261,Try the Chicken Salad Bowl - Delish. A classic. With all the works! (via @Foodspotting)
95,94,It's just so incredibly cute.
96,94,"late at night, the french fries are awful."
96,1281,"The shrimp noodle is the BEST. You will walk out a changed, more centered person if you order it."
96,2798,The AC is broken. Unbearable.
96,4757,The lobster sandwiches are the best I have ever had and I love the non-alcoholic sparkling pear drink.
97,98,"Everything I've tried here is great! It reminds me of a \"
100,99,"Try the orange waffle with fruits and maple syrup for BF. The focaccia with mozzarella, tomatoes and olives tapenade is also great."
101,99,There's a crocodile on the wall.
101,1182,If you're god then save the queen.
101,1714,They have hush puppies. What else does one need?
101,2792,"Don't wear stripes, you'll match the waiters."
101,4116,Awesome lunch specials here.
101,5601,The bathrooms have that liquid soap that smells like wild cherry.
102,99,"The baked eggs are excellent and the coffee really is among the best in NY. It's got a great vibe, if a bit precious"
103,99,"Mozz sandwich, avocado toast and hot chocolate. Visit Erica & Nick"
103,1952,The prices were just raised- my favorite almond toast is now $2.50 :(
103,2735,"Any kind of omelette, sit in the cute blond waiter's section. Yum."
103,4638,Foamy coffee!
104,99,Get the avocado toast and the hearts of palm salad.
104,414,"MFC is a weekly staple. Grilled whole fish, fish tacos, cockles, lobster knuckles...all good!"
104,1479,Sit outside and order one of everything. Lasagna. Burger. Taco salad. Shakes. EVERYTHING is good here!
104,1785,"Get the quinoa salad. Black beans, corn, avocado dressing.....so good!"
104,2370,House salad with avocado. Edamame is like no other. Spicy tuna with tempura flake roll. Wine. Done. Every week.
104,2792,Brunch. Lunch. Dinner. One of my favorite neighborhood spots.
104,5783,"Their arugula salad is awesome. Love their sprout, creamy dandelion and fennel salads too. Try their blueberry spirukina shake.yum!"
105,106,"Extremely considered daily menu with unusual ingredients\/combos. come with friends and share a lot of dishes!"
105,3170,Girls wearing hats make you good coffees
107,106,"A bottle of wine, I got the duck breast and my date got the mackerel and the wine was the best part of the meal. Not impressed and way over priced!"
108,106,Did you have the deep fried sardine skeletons from Isa? Did you eat it?
108,414,"I know you want a lobster roll, but that's the wrong move here. At Mary's you want to go for a whole fish. Ask your server which one, they'll know what's best today."
108,734,"This place is great. You love it, I love it, everyone loves it. But have you been to the real Blue Hill at Stone Barns? Make a reservation for you and your special someone today."
108,833,You're getting a lobster roll right? Hell yes you are! Best lobster roll in the city.
108,907,Everyone who loves Lure Fishbar is wrong. Aquagrill is 5x better. Make sure to start with some oysters!
108,1580,Asian small plates. Dishes you'll definitely want to order: Chinese sausages and the mushrooms with bamboo shoots.
108,1906,"In my opinion, DuMont has the best burger in NYC. It's not fancy or unique, but the patty is the perfect thickness, and they've always got nice fresh veggies to top it with."
108,2370,"It's open 'till 2am, so one night when you've been working reaaaaaaally late hop in a cab, head to Blue Ribbon Sushi, and order up some toro. You deserve it."
108,2595,Look around. Consider that fact that you're basically dining in the NYU cafeteria. Feel a little old. Buy a round of shots for the kids at the next table.
108,2638,"Did you have the chef's secret tasting menu from Roberta's? Yes I did, and the month long wait was worth it because the carrots they grow on the rooftop garden there are just so sweet."
108,2891,"They've currently got a deal running where you can get a three course dinner (app, entre, dessert) for 19 bucks Sunday through Thursday."
108,3445,The Gang Phed Ped Yang delicious. I pretty much order it every time I'm here.
108,3984,Have you had the bacon marmalade twinkwich from the Big Gay Ice Cream Truck? Did you eat it?
108,4736,I cannot resist the siren song of the McFlurry. Tasty tasty McFlurry.
108,5269,Did you order the bone marrow? If you didn't then you are simply doing it wrong. Flag down your server and correct your mistake.
109,106,"Good food, not worth the $50 prefixe price"
109,510,honey mustard za
109,1501,Great music in here
109,1753,"Umm, this place isn't good."
109,1865,Be prepared for massive portions. Order tots on the side and relive your school cafeteria days.
109,2633,eat a turkey burger
109,2767,Not BYOB anymore. Weak.
109,3663,Steak and Eggs: GET THEM. Also dogs are allowed to sit with you outside and they'll even provide a water bowl
109,3896,Try the almond hash for brunch
109,4261,Get the cherry chocolate bread pudding and sit out front and people watch
109,5033,Best Filipino Brunch in Manhattan. Get the tosilog with garlic fried rice and wash it down with Buko Juice
109,5369,Not a place you want to go if you want authentic Filipino cuisine
110,111,I like to end most nights on the town here with a Skinny Margarita and late night Fatty Fajita.
110,815,They have the nice kind of toilet paper.
110,1775,Get the Ricky- Margarita and Dos Equis. Killer combo for a killer night.
110,2054,Cardamon coffee is the nectar of the gods.
110,2387,Cheddar hush puppies are worth the splurge
110,2434,Relaxing with a mojito in the garden is the best way to enjoy summer. Tuesday and Wednesdays come and enjoy free hand-rolled cigars!
110,2476,Oh hi duck meatballs. You were my newest fav....then I tried the almond gnocchi. This is the kind of food that could change your life.
110,2706,Get your drink on with the good-looking Aussie men and then get your burger on when you get the drunchies.
110,2771,Sample one of Adam's award-winning cocktails at the bar!
110,5425,If you work at a neighborhood business you receive 10% off!
110,5542,"Halibut, pork chop and asparagus. And of course an El Diablo margarita!"
112,113,Great seafood
112,468,Try the malted milk ball sundae
112,537,"Get here before 8am, avoid the long lines later"
112,764,"Nice stop after walking\/studying in the NYC Public Library. Beautiful 4-season view of Bryant park in summer and ice skating in winter"
112,1069,surf and turf!
112,1303,"Branzino, bombolini, everything is fabulous"
112,1303,Fantastic branzino when in season
112,1638,"Try the thin crust pizza, the risotto, or the veal chop parmigiana - best ever"
112,1778,Cold shellfish platter
112,2053,Surf and turf includes a ten oz filet and a two pound lobster!
112,2324,"Great desert menu, tough to choose.delicious!"
112,2799,Try the Soul Burger with sweet potato fries
112,2892,"Impressive, ornate, and romantic place to start or end a midtown NYC evening"
112,2892,Sadly Gilt is closed for the summer - come back in the fall!
112,3467,Fish of the day is always great
112,4214,request a table by the windows overlooking the ice skating rink
112,4220,"Avoid the line, order through the app"
112,4824,"Dave room for dessert. The cinnamon fritters (beignets) come with chocolate, vanilla, and caramel dipping sauces!"
112,4948,There is nothing bad on this menu - come back again and again for authentic home cooked italian
112,5829,Try the mozzarella!
114,113,Pear dessert was quite possibly best pear flavor I have ever had.
115,113,Spend a warm Sunday afternoon outdoors on the patio with their scrumptious Crab Cake Benedict and complimentary bellini!
115,393,Devour the strawberry butter with no abandon!
115,985,Eat like an emperor with their four-course $20 lunch special!
115,1334,Galbi lunch box is what's up.
115,1581,"Paella is the way to go - sausage, chicken, beef, and seafood in a delicious Saffron rice!"
115,1601,MOTHER OF PEARL is the brisket good!
115,1718,Beef tongue. Seriously.
115,1718,"$3 soup, salad, and rice set during the lunch happy hour. Yes."
115,1995,Order the Penne Rosate with smoked salmon...I think I just drooled a bit!
115,2166,Order the incredible Oreo milkshake. Heaven.
115,2458,Mango in a sugar cone- you won't regret it!
115,3070,Get the tempura-udon combo. I still wake up in the middle of night drooling.
115,3309,Avoid the horrid bubble tea!
115,3362,"Don't be scared by the term \"
115,3486,"You'd be crazy to not try any of the following: sea urchin toast, foie gras, and \"
115,3614,Don't get too overzealous with the red sauce - you WILL regret it!
115,3626,Come Monday-Friday before 7:30 to try their killer Prix Fixe menu! $35 for three courses - and you can't leave without trying sausages!
115,3629,"Come after a long night of partying (around 4 or 5am), revel in that delicious shamefulness."
115,3730,"Come after 2 a.m. and mingle with the...ahem...\"
115,3747,Order a side of truffle asiago fries. Life would not be complete without them.
115,3869,"Grab the lunch special to-go\/delivered: $10 for 3 rolls of sushi!"
115,3985,The frozen dumplings (under $10 for a pack of 30) are so worth it - both affordable and DIY!
115,4019,Roasted garlic and onion knish is OUT OF THIS WORLD good.
115,4190,Fancy Naruto Roll FTW!
115,4663,Prosciutto sandwich is sinfully delicious.
115,4741,"Try their grilled cheese - simple, delicious, and foolproof :)"
115,4938,God bless their empanadas!
115,5255,"Order a sushi entree, sit back, and prepare for the inescapable food coma."
115,5413,"Come with a small group of friends and order the Omakase - a complete sampler of all their tapas, cookies, and ice creams for only $50!"
115,5419,"Try their grilled cheese - simple, delicious, and foolproof :)"
116,113,Having a leisurely prix-fixe lunch with Kate from the set of Georgetown. Loving the artichoke tomato bisque.
116,181,the tres leches donut is classic and a MUST!
116,1872,Get a salty dog because they use fresh grapefruit.juice @aliasrestaurant
116,2474,great outdoor patio! Its heated for the winter:-)
116,3075,one of the best places for all my lactose intolerant friends who LoOoVe ice cream :-)
116,3858,The best $2.50 Cupcakes in the BK. WORTH itching for. I dislike being allergic to chocolate.
117,113,"Absolutely wonderful atmosphere, next I'm in NYC I will return."
118,119,"Far none one of the best chicken joints in the city. Great that they added a salad to my meal which was a surprise! Got crowded at times though, so off-peak hours is the best times."
118,2435,"Good menu, food's delish on the most part & good deals!"
118,2576,Spicy noodles are the ones you should look for when visiting. Yum!
118,3020,Great BBQ but do go early.
118,3884,Awesome salads & Grest choices. What else you can say?
120,119,awesome fast cheap
120,1254,Best frickin Chinese in the city.
120,3233,Great food. Too many families. Loud.
120,3305,9.95 lunch special is a really good bargain. awesome atmosphere.
120,4091,"Dinner with friends tonight. Yum, Cilantro is really good Mexican food."
120,4136,Burrito Box is packed at lunch. A great lunchtime value. Gigundo burritos. Try it with soy cheese or tofu sour cream t keep it extra healthy.
120,5370,Where are the burritos?
121,119,Seriously good chicken.
121,2714,Great place to have dinner after visiting The American Museum of Natural History
121,2901,Four words: Lobster Mac and Cheese.
121,4477,Usually get a tall caramel macchiatto but I am really enjoying this cinnamon dolce latte.
121,4531,See what this place looks like after renovation
121,4531,5 laptop writers today! And at least 1 iPad.
121,4531,I know I am three months late but I see FOUR laptop writers. Can you spot five?
121,4963,Once in a while try the Caramel Apple Spice.
122,119,Give the aroz con pollo a try.
122,139,Rude waiters add to the authentic NYC vibe. Don't be afraid of the sandwich sizes... just dig in.
122,165,"The hush puppies will weigh you down all night, but they are oh so worth it."
122,165,"A bit expensive, but it's hard to resist the hush puppies."
122,324,Amazing sweet potato fries & maple dipping sauce.
122,341,The veal parm is pretty darn good.
122,393,The french toast is heaven. Nearly bread pudding!
122,648,"While the pumpkin waffle isn't very sweet, it's quite good."
122,894,"The chicken parm is fantastic, but the garlic bread is amazing!"
122,1054,"Classic Broadway joint. Menu might be pricey, but try stopping in for a drink before a show."
122,1224,Pulled pork sandwich is perfectly tangy while the strawberry lemonade is wonderfully subtle. Great brunch spot.
122,1544,The milkshakes are the only reason to come. Food was pretty blah.
122,1671,"Love much of the food here, but avoid the red velvet cake. Way too dense."
122,1679,French toast is a must for brunch going.
122,1680,try the chicken tikka and Nan.
122,1785,The pumpkin and raisin muffin was pretty scrumptious.
122,2043,Fred's serves up some of the best turkey burgers in town.
122,2286,You must try the red velvet cake.
122,2462,Nearly impossible not to love the cheesecake. Save room!
122,2462,Grab a slice of cheesecake before heading home. A sweet end to the night.
122,2620,"Best Mexican food around Midtown, hands down. Try the guac, grab a margarita, and try dining tapas style with some friends. Great brunch spot, too."
122,2620,Best house margaritas in NYC!
122,2673,Chocolate hazelnut is a must.
122,3010,"As a creature of habit, I tend to opt for the Chicken Milanese, and am never disappointed."
122,3010,Chicken Milanese is top notch. Moist and crisp with plenty of mozzarella and tomato on top.
122,3435,"No slices here, but great full-sized pizza pies. Grab a beer and wait out the crowds at the bar."
122,3496,My favorite bagel spot in all of NYC... and I've tried plenty. Amazing everything bagels.
122,3623,"I prefer the West Village location, but there's no better frozen treat in NYC."
122,3787,"Best sticky buns, ever."
122,4005,"BBQ chicken burrito, wheat tortilla, brown rice. Yum!"
122,4005,Avoid the guacamole -- bland -- but do try the chicken soup when they actually have it.
122,4142,Blueberry muffins = morning ritual.
122,4156,Great old-fashioned cherry coke... with actual syrup.
122,4256,Scones are scrumptious as well.
122,4256,Try the soup of the day. Potato today was fantastic.
122,4266,I tend to go for a small original with chocolate chips and captain crunch.
122,4547,"If you want a mojito on the Upper West Side and you can't make it to Calle Ocho near AMNH, then this is your best best."
122,4601,The fried chicken cutlet is always a moist treat!
122,4659,Make sure to ask for some rolls. Scrumptious.
122,4867,"If you are seeing a show at Lincoln Center, try grabbing a burger here. And make room for the cobbler."
122,4867,Amazing Apple Cobbler.
122,4999,Try the slice of birthday cake
122,5013,"Starbucks around Times Square can have spotty barista service, so try trekking over here for a pre-theatre latte."
122,5294,General Tso's chicken is nice a crispy with a little touch of ginger. Yum!
122,5445,A great find off the heavily trafficked path in Times Square.
122,5708,"If you want a shaken iced tea, better tell them it needs to be shaken."
124,123,Have a wine outside on a sunny day
124,636,order a Bellini Martini they are srumptious
124,639,eat the pork and crab dumplings...mmmm mmmmm
124,2081,get the blue shot. dangerous and delicious ... tastes like a popsicle?????
124,3129,get an almond croissant and soy latte. best pairing for a nice morning treat.
125,123,"The speck panini is a little spicy, but so good. Also try the bruschetta with the cheese spread and apricot. Delicious!"
125,301,The steak and eggs is terrific!
125,601,"A great place to meet celebrities, cewebrites, or both, like Vin Vacanti."
125,601,The Greek salad is both delicious and authentic. The savory pies are good but there are better menu items.
125,842,The Bistro Burger is the only way to go here. You can't get a better bacon cheeseburger for the money.
125,1014,The arugula and goat cheese pierogies are a must. Do not come here with large groups: you will not get seated or wait forever.
125,1322,"Best pancakes ever. Also, get the sugar cured bacon."
125,1334,"Can't remember the korean name, but the rib eye bbq was excellent."
125,1812,Matthew on foccacia is the best sandwich in New York.
125,2149,The Mexican Bulldog is the best bang for your buck drink in the city. And the burritos are good too!
125,2589,Don't order off the regular menu. The specials change every day and they are all way more delicious.
125,2867,Ask for a side of bread if you get a salad. It comes from the delicious Balthazar Bakery!
125,3498,Incredible cupcakes. The Brooklyn Blackout cupcake is like nothing you've ever tasted.
125,3773,The Orange French Toast at brunch is incredible.
125,4062,"The Maine mussels are a must; steamed mussels in a creamy broth with parsley, bacon, and lobster. Fries are ok."
125,4116,"The Pinto Ice Tea is not only delicious, but you get to make it yourself. The Taro fritters are also sensational."
125,5837,CRACK COFFEE!!!! (cold brew)
126,123,Always good I love this place.
126,203,Bests Margarita's in the lower
126,2054,Models love this place
126,2054,Iced Coffee ^_^
127,123,Pre 6 o'clock happy hour gets you a featured glass of white or red (the white today was a falanghina)) and a bruschetta for $6. A nice afternoon treat.
127,4954,"Only one thing to say: Get the Lobster Roll Now! None of that mayo stuff to cover up the flavor, just sheer lobster pleasure."
127,5363,"Love the food, hate the wine tumblers and wait attitude"
128,123,"Amazing! Try the romaine radicchio insalata, speck and fontina panini, and the gamberoni. Perfect for two and so damn delicious!!!!!"
128,734,Winter vegetables is great. The chicken is cooked so sublimely I don't think I've experienced chicken breast taste and texture like that!
128,1143,This unassuming little place has a lovely garden in the rear. Bring a book and grab a coffee
128,1559,OMG the brick chicken is %$&@ing brilliant. SO good. I enjoyed every single bite of crispy skin and delicious meat.
128,1642,"Happy, yummy food. Just love the salads, pastas and chicken."
128,2117,The strip steak is often overlooked in favor of the black label burger or cote de boeuf but it's phenomenal! Follow up with one of the delightful souffles
128,2576,"Aside from the famed pork buns, the bok choy and the beef brisket are PHENOMENAL!!"
128,2895,"Loved everything I ate here, especially the banana dessert! Polenta starter is delicious but a bit heavier than you might expect."
128,3081,Best croissant I've had in NYC so far. Great flaky texture and buttery-ness
128,3687,"Fantastic beef carpaccio! Love all the pastas here too, try the bucatini."
128,4849,Mr Greengenes and Tropical Mangosteen are faves and the Acai bowls are a nice alternative to a salad lunch. Do the 3 day Cooler Cleanse if you're looking to detox. It's yummy and filling!
128,6113,"I love the Strozzapreti with Parma ham, black truffle, fava beans and norcia cheese. I crave it when I'm out of town! The strozzapreti with seafood and tomatoes is great too."
129,130,It is hard to mess up an omelette but wouldn't try anything else.
129,1812,The Alyssa is my fave so far but determined to make it down the list.
129,2409,The meatballs with raisins are to die!
131,130,Great Burger and fries
131,301,"Best steak (and eggs) brunch in the area, weekdays too."
131,595,"The broth (pho) is so good here! Spicy coconut chicken, and spicy beef"
131,617,Romantic cozy Russian place!
131,840,my fav steak in NYC. So good it's tough to talk during the experience!
131,1012,"my neighborhood diner, faces the park. Great $10 brunch always served, includes Mimosa."
131,1012,This is the East Village's Tom's Diner
131,1114,"amazing place. huge selection of healthy shakes, sandwiches, omlettes, vegan cookies, etc. small place with sidewalk patio, pretty people"
131,1201,"Fantastic burgers, yummy pancakes n sausage"
131,1254,"Lo mein noodles with shrimp, ftw."
131,1264,"Becoming a fav brunch spot, excellent!"
131,1264,Excellent value dinners and house wine.
131,1264,Pancakes sausage fruit brunch awesome
131,1509,"my fav cafe in all NYC. great working environment, friendly, crowd changes throughout day into night"
131,1590,"have the churrasco and eggs brunch, any day. yum!"
131,1943,GREAT space for wi-fi work and healthy food.
131,2195,"Vietnamese is 1 cuisine that's really under-represented in NYC. this is 1 of the good ones, tho far from authentic"
131,2254,nice looking Mexican place on Minetta St
131,2287,Very nice Spanish sandwiches. Feels like a small Spanish Eataly :)
131,2325,1 of top NYC burgers. pricey.
131,2433,might be best Polish place in 5 boros
131,2514,"Always rockin' Filipino place, next door to me."
131,2574,"Brunch: Expensive, not memorable, drinks not included."
131,2685,Unbelievably tasty burger on a newly renovated street in Alphabet City.
131,2896,"excellent dairy-free ice cream & desserts, nice outdoor benches and park."
131,2904,Fantastic noodles near Columbia
131,2970,A fav place to escape by motorbike for lunch on nice day
131,2970,Quintessential deep Brooklyn Italian. outdoor tables make for a great motorcycle ride destination.
131,2980,"lunch special is best in town- fantastic black n blue burger, soup, drink for $10"
131,2980,"New covered sidewalk seating. Burgers, wifi"
131,3083,"becoming a top spot to work from for me. a\/c = brrr tho!"
131,3245,"great atmosphere, great people, great food!"
131,3439,"highly recommended, very nicely redone room, fun, cheap. best part are the drinks- have the lychee mojito for $5 (at time of writing)!"
131,3702,Queens Brazilian- incredible!! get the chicken malagueta.
131,3707,Easily best pizza joint in EVill
131,3871,a fun and active sbux in great location
131,4054,"nice wkend brunch, great cheap deli sandwich soup special"
131,4241,"Excellent, reasonable italian classics, brick oven. Wine not so cheap."
131,4396,Excellent healthy fast food
131,4428,"Very impressive, eclectic, korean lunch menu"
131,4428,Great lunch. Korean.
131,4672,Mongolian grill- do monglians really eat like this?
131,4672,"Omg this food court is fantastic- mongolian, bibimbap, salads..."
131,4833,great food and atmosphere for the price.
131,4975,"Killer cheap dinner special and house wine, BUT u have to aggressively pull the special out of them."
131,5212,Decent but lacks WiFi and character of other Thinks
131,5349,Outdoor tables for sunny day. Sandwiches n pastries
131,5363,Unimpressed with the chicken-egg sandwich.
131,5413,Nice new Vietnamese tea n ice cream place. My 1st NYC apt is upstairs.
131,5491,"Best food ever, if you're shopping in Jersey."
132,130,Get the Don Pedro for breakfast.
132,1946,"Get the tomato soup. It's so good, it can be your entree!"
132,2330,Try the PB&J.
132,2614,While it's still cold out. Try the Hot Spiked Cider :-)
132,3433,The oyako-don is good and cheap - both at the same time.
133,130,Great or breakfast meetings
133,654,The $11.95 burger is amazing for lunch. Add cheese and bacon for $1 each.
133,822,$9.95 for a steak on Monday Nights!
133,1438,great place to watch Philly games
133,1468,Best croquetas I've ever eaten (and I grew up in Miami)
133,1611,the stuffed shrimp and goat cheese croquettas are amazing
133,2488,"Wifi password as of 11\/10: ilovecocoabar"
133,2704,make sure to charge your laptop before coming on the weekends. They turn off the power to the outlets.
133,2860,Great at 1pm when all other east village spots have long lines
133,3296,"get the fish tacos, seriously."
133,3467,"For the amazing chicken tenders, you have to go to the 53rd St location."
133,4681,"If you are wearing a baby, you get 10% off and there's a guy around the corner that will rent his baby for $2."
133,5188,"During weekdays, you have to get here before 11:45am or else there's a 30 minute wait."
133,5237,"when asked what type of beans, say \"
133,5363,Not on the menu but order the cucumber mint spritzer for brunch
133,5532,Rent this place out for a 30 person BYOB party on a weekend afternoon
134,135,"Try the corn ice cream w\/ cinnamon on top - it's delicious! =)"
134,1315,This place had great salads (the Geppetto is awesome) and WiFi access! =)
134,1544,The milk shakes are awesome and a must-have. You can even share them with a friend =)
134,2015,Great pizza place - try the plain slice or the deep dish or one of their specials! Everything is awesome here! =)
134,2032,Their ramen is to die for. Try the Tonkotsu basic! =)
134,2078,awesome southern food in the heart of the 'burg! =)
134,2089,"best mac and cheese ever! If you don't believe that you can make a meal out of gourmet Mac and Cheese, you need to check this place out =)"
134,2390,Excellent Japanese desserts + bakery! =)
134,2656,"Get the bread pudding w\/ dulce de leech ice cream - one of the best desserts in town!"
134,3444,Try the Nachos with Chicken - this place is awesome! perhaps one of the best Mexican places in the city! nachos were delish! =) (via @Foodspotting)
134,3621,"Hands down the best bagels in NYC! def try the French toast bagel w\/ strawberry cream chesse or any of their other combinations - you really can't go wrong!"
134,5172,"Coconut Curry Chicken Salad at @freshandco is amazing! (c\/o @andreidinuionit)"
134,5409,"Awesome all you cant eat sushi, seafood, and steak. They also have an unlimited dessert bar! Approx $18 lunch, $30 dinner, add a little more for weekends. Can't miss deal!"
134,5558,"best classic chinese place in nyc! classic ho fun w\/ beef all the way! =)"
136,135,"Umit Benan, famed Turkish Designer, recommends their ice cream."
136,329,"Umit Benan, famed Turkish Designer: \"
136,2426,"Umit Benan, famed Turkish Designer: \"
137,135,Corn with cinnamon!
137,1247,Don't go on a Tuesday. There's a busker standing by the jukebox who'll sing City of New Orleans and You're So Vain. Without irony.
